time;ExpDiode_V;ExpDiode_I
0.0804;0.62863;0.036349
0.0805;0.62833;0.035936
0.0806;0.62797;0.035432
0.0807;0.62753;0.034838
0.0808;0.62702;0.034156
0.0809;0.62643;0.033386
0.081;0.62576;0.03253
0.0811;0.625;0.031588
0.0812;0.62415;0.030563
0.0813;0.62319;0.029456
0.0814;0.62213;0.02827
0.0815;0.62095;0.027006
0.0816;0.61963;0.025667
0.0817;0.61817;0.024257
0.0818;0.61655;0.022778
0.0819;0.61473;0.021235
0.082;0.6127;0.019631
0.0821;0.61042;0.017973
0.0822;0.60784;0.016267
0.0823;0.60491;0.01452
0.0824;0.60153;0.012744
0.0825;0.59761;0.01095
0.0826;0.59299;0.0091561
0.0827;0.58744;0.0073875
0.0828;0.58064;0.0056788
0.0829;0.5721;0.0040811
0.083;0.56111;0.0026679
0.0831;0.54676;0.0015319
0.0832;0.52832;0.00075057
0.0833;0.50589;0.00031518
0.0834;0.48057;0.00011836
0.0835;0.45357;4.17E-05
0.0836;0.42564;1.41E-05
0.0837;0.3971;4.69E-06
0.0838;0.36811;1.53E-06
0.0839;0.33873;4.90E-07
0.084;0.30902;1.55E-07
0.0841;0.27899;4.86E-08
0.0842;0.24869;1.50E-08
0.0843;0.21814;4.62E-09
0.0844;0.18738;1.40E-09
0.0845;0.15643;4.23E-10
0.0846;0.12533;1.26E-10
0.0847;0.094108;3.71E-11
0.0848;0.062791;1.03E-11
0.0849;0.031411;2.37E-12
0.085;-6.31E-14;-8.51E-16
0.0851;-0.031411;-7.04E-13
0.0852;-0.062791;-9.12E-13
0.0853;-0.094108;-9.74E-13
0.0854;-0.12533;-9.92E-13
0.0855;-0.15643;-9.98E-13
0.0856;-0.18738;-9.99E-13
0.0857;-0.21814;-1.00E-12
0.0858;-0.24869;-1.00E-12
0.0859;-0.27899;-1.00E-12
0.086;-0.30902;-1.00E-12
0.0861;-0.33874;-1.00E-12
0.0862;-0.36812;-1.00E-12
0.0863;-0.39715;-1.00E-12
0.0864;-0.42578;-1.00E-12
0.0865;-0.45399;-1.00E-12
0.0866;-0.48175;-1.00E-12
0.0867;-0.50904;-1.00E-12
0.0868;-0.53583;-1.00E-12
0.0869;-0.56208;-1.00E-12
0.087;-0.58779;-1.00E-12
0.0871;-0.61291;-1.00E-12
0.0872;-0.63742;-1.00E-12
0.0873;-0.66131;-1.00E-12
0.0874;-0.68455;-1.00E-12
0.0875;-0.70711;-1.00E-12
0.0876;-0.72897;-1.00E-12
0.0877;-0.75011;-1.00E-12
0.0878;-0.77051;-1.00E-12
0.0879;-0.79016;-1.00E-12
0.088;-0.80902;-1.00E-12
0.0881;-0.82708;-1.00E-12
0.0882;-0.84433;-1.00E-12
0.0883;-0.86074;-1.00E-12
0.0884;-0.87631;-1.00E-12
0.0885;-0.89101;-1.00E-12
0.0886;-0.90483;-1.00E-12
0.0887;-0.91775;-1.00E-12
0.0888;-0.92978;-1.00E-12
0.0889;-0.94088;-1.00E-12
0.089;-0.95106;-1.00E-12
0.0891;-0.96029;-1.00E-12
0.0892;-0.96858;-1.00E-12
0.0893;-0.97592;-1.00E-12
0.0894;-0.98229;-1.00E-12
0.0895;-0.98769;-1.00E-12
0.0896;-0.99211;-1.00E-12
0.0897;-0.99556;-1.00E-12
0.0898;-0.99803;-1.00E-12
0.0899;-0.99951;-1.00E-12
0.09;-1;-1.00E-12
0.0901;-0.99951;-1.00E-12
0.0902;-0.99803;-1.00E-12
0.0903;-0.99556;-1.00E-12
0.0904;-0.99211;-1.00E-12
0.0905;-0.98769;-1.00E-12
0.0906;-0.98229;-1.00E-12
0.0907;-0.97592;-1.00E-12
0.0908;-0.96858;-1.00E-12
0.0909;-0.96029;-1.00E-12
0.091;-0.95106;-1.00E-12
0.0911;-0.94088;-1.00E-12
0.0912;-0.92978;-1.00E-12
0.0913;-0.91775;-1.00E-12
0.0914;-0.90483;-1.00E-12
0.0915;-0.89101;-1.00E-12
0.0916;-0.87631;-1.00E-12
0.0917;-0.86074;-1.00E-12
0.0918;-0.84433;-1.00E-12
0.0919;-0.82708;-1.00E-12
0.092;-0.80902;-1.00E-12
0.0921;-0.79016;-1.00E-12
0.0922;-0.77051;-1.00E-12
0.0923;-0.75011;-1.00E-12
0.0924;-0.72897;-1.00E-12
0.0925;-0.70711;-1.00E-12
0.0926;-0.68455;-1.00E-12
0.0927;-0.66131;-1.00E-12
0.0928;-0.63742;-1.00E-12
0.0929;-0.61291;-1.00E-12
0.093;-0.58779;-1.00E-12
0.0931;-0.56208;-1.00E-12
0.0932;-0.53583;-1.00E-12
0.0933;-0.50904;-1.00E-12
0.0934;-0.48175;-1.00E-12
0.0935;-0.45399;-1.00E-12
0.0936;-0.42578;-1.00E-12
0.0937;-0.39715;-1.00E-12
0.0938;-0.36812;-1.00E-12
0.0939;-0.33874;-1.00E-12
0.094;-0.30902;-1.00E-12
0.0941;-0.27899;-1.00E-12
0.0942;-0.24869;-1.00E-12
0.0943;-0.21814;-1.00E-12
0.0944;-0.18738;-9.99E-13
0.0945;-0.15643;-9.98E-13
0.0946;-0.12533;-9.92E-13
0.0947;-0.094108;-9.74E-13
0.0948;-0.062791;-9.12E-13
0.0949;-0.031411;-7.03E-13
0.095;7.26E-14;-4.64E-16
0.0951;0.031411;2.37E-12
0.0952;0.062791;1.03E-11
0.0953;0.094108;3.71E-11
0.0954;0.12533;1.26E-10
0.0955;0.15643;4.23E-10
0.0956;0.18738;1.40E-09
0.0957;0.21814;4.62E-09
0.0958;0.24869;1.51E-08
0.0959;0.27899;4.86E-08
0.096;0.30902;1.55E-07
0.0961;0.33873;4.90E-07
0.0962;0.36811;1.53E-06
0.0963;0.3971;4.69E-06
0.0964;0.42564;1.41E-05
0.0965;0.45357;4.17E-05
0.0966;0.48057;0.00011836
0.0967;0.50589;0.00031518
0.0968;0.52832;0.00075057
0.0969;0.54676;0.0015319
0.097;0.56111;0.0026679
0.0971;0.5721;0.0040811
0.0972;0.58064;0.0056788
0.0973;0.58744;0.0073875
0.0974;0.59299;0.0091561
0.0975;0.59761;0.01095
0.0976;0.60153;0.012744
0.0977;0.60491;0.01452
0.0978;0.60784;0.016267
0.0979;0.61042;0.017973
0.098;0.6127;0.019631
0.0981;0.61473;0.021235
0.0982;0.61655;0.022778
0.0983;0.61817;0.024257
0.0984;0.61963;0.025667
0.0985;0.62095;0.027006
0.0986;0.62213;0.02827
0.0987;0.62319;0.029456
0.0988;0.62415;0.030563
0.0989;0.625;0.031588
0.099;0.62576;0.03253
0.0991;0.62643;0.033386
0.0992;0.62702;0.034156
0.0993;0.62753;0.034838
0.0994;0.62797;0.035432
0.0995;0.62833;0.035936
0.0996;0.62863;0.036349
0.0997;0.62886;0.036671
0.0998;0.62902;0.036901
0.0999;0.62912;0.037039
0.1;0.62915;0.037085
