time;ExpDiode_V;ExpDiode_I
0.0181;0.61473;0.021235
0.0182;0.61655;0.022778
0.0183;0.61817;0.024257
0.0184;0.61963;0.025667
0.0185;0.62095;0.027006
0.0186;0.62213;0.02827
0.0187;0.62319;0.029456
0.0188;0.62415;0.030563
0.0189;0.625;0.031588
0.019;0.62576;0.03253
0.0191;0.62643;0.033386
0.0192;0.62702;0.034156
0.0193;0.62753;0.034838
0.0194;0.62797;0.035432
0.0195;0.62833;0.035936
0.0196;0.62863;0.036349
0.0197;0.62886;0.036671
0.0198;0.62902;0.036901
0.0199;0.62912;0.037039
0.02;0.62915;0.037085
0.0201;0.62912;0.037039
0.0202;0.62902;0.036901
0.0203;0.62886;0.036671
0.0204;0.62863;0.036349
0.0205;0.62833;0.035936
0.0206;0.62797;0.035432
0.0207;0.62753;0.034838
0.0208;0.62702;0.034156
0.0209;0.62643;0.033386
0.021;0.62576;0.03253
0.0211;0.625;0.031588
0.0212;0.62415;0.030563
0.0213;0.62319;0.029456
0.0214;0.62213;0.02827
0.0215;0.62095;0.027006
0.0216;0.61963;0.025667
0.0217;0.61817;0.024257
0.0218;0.61655;0.022778
0.0219;0.61473;0.021235
0.022;0.6127;0.019631
0.0221;0.61042;0.017973
0.0222;0.60784;0.016267
0.0223;0.60491;0.01452
0.0224;0.60153;0.012744
0.0225;0.59761;0.01095
0.0226;0.59299;0.0091561
0.0227;0.58744;0.0073875
0.0228;0.58064;0.0056788
0.0229;0.5721;0.0040811
0.023;0.56111;0.0026679
0.0231;0.54676;0.0015319
0.0232;0.52832;0.00075057
0.0233;0.50589;0.00031518
0.0234;0.48057;0.00011836
0.0235;0.45357;4.17E-05
0.0236;0.42564;1.41E-05
0.0237;0.3971;4.69E-06
0.0238;0.36811;1.53E-06
0.0239;0.33873;4.90E-07
0.024;0.30902;1.55E-07
0.0241;0.27899;4.86E-08
0.0242;0.24869;1.50E-08
0.0243;0.21814;4.62E-09
0.0244;0.18738;1.40E-09
0.0245;0.15643;4.23E-10
0.0246;0.12533;1.26E-10
0.0247;0.094108;3.71E-11
0.0248;0.062791;1.03E-11
0.0249;0.031411;2.37E-12
0.025;-6.39E-14;-8.52E-16
0.0251;-0.031411;-7.04E-13
0.0252;-0.062791;-9.12E-13
0.0253;-0.094108;-9.74E-13
0.0254;-0.12533;-9.92E-13
0.0255;-0.15643;-9.98E-13
0.0256;-0.18738;-9.99E-13
0.0257;-0.21814;-1.00E-12
0.0258;-0.24869;-1.00E-12
0.0259;-0.27899;-1.00E-12
0.026;-0.30902;-1.00E-12
0.0261;-0.33874;-1.00E-12
0.0262;-0.36812;-1.00E-12
0.0263;-0.39715;-1.00E-12
0.0264;-0.42578;-1.00E-12
0.0265;-0.45399;-1.00E-12
0.0266;-0.48175;-1.00E-12
0.0267;-0.50904;-1.00E-12
0.0268;-0.53583;-1.00E-12
0.0269;-0.56208;-1.00E-12
0.027;-0.58779;-1.00E-12
0.0271;-0.61291;-1.00E-12
0.0272;-0.63742;-1.00E-12
0.0273;-0.66131;-1.00E-12
0.0274;-0.68455;-1.00E-12
0.0275;-0.70711;-1.00E-12
0.0276;-0.72897;-1.00E-12
0.0277;-0.75011;-1.00E-12
0.0278;-0.77051;-1.00E-12
0.0279;-0.79016;-1.00E-12
0.028;-0.80902;-1.00E-12
0.0281;-0.82708;-1.00E-12
0.0282;-0.84433;-1.00E-12
0.0283;-0.86074;-1.00E-12
0.0284;-0.87631;-1.00E-12
0.0285;-0.89101;-1.00E-12
0.0286;-0.90483;-1.00E-12
0.0287;-0.91775;-1.00E-12
0.0288;-0.92978;-1.00E-12
0.0289;-0.94088;-1.00E-12
0.029;-0.95106;-1.00E-12
0.0291;-0.96029;-1.00E-12
0.0292;-0.96858;-1.00E-12
0.0293;-0.97592;-1.00E-12
0.0294;-0.98229;-1.00E-12
0.0295;-0.98769;-1.00E-12
0.0296;-0.99211;-1.00E-12
0.0297;-0.99556;-1.00E-12
0.0298;-0.99803;-1.00E-12
0.0299;-0.99951;-1.00E-12
0.03;-1;-1.00E-12
0.0301;-0.99951;-1.00E-12
0.0302;-0.99803;-1.00E-12
0.0303;-0.99556;-1.00E-12
0.0304;-0.99211;-1.00E-12
0.0305;-0.98769;-1.00E-12
0.0306;-0.98229;-1.00E-12
0.0307;-0.97592;-1.00E-12
0.0308;-0.96858;-1.00E-12
0.0309;-0.96029;-1.00E-12
0.031;-0.95106;-1.00E-12
0.0311;-0.94088;-1.00E-12
0.0312;-0.92978;-1.00E-12
0.0313;-0.91775;-1.00E-12
0.0314;-0.90483;-1.00E-12
0.0315;-0.89101;-1.00E-12
0.0316;-0.87631;-1.00E-12
0.0317;-0.86074;-1.00E-12
0.0318;-0.84433;-1.00E-12
0.0319;-0.82708;-1.00E-12
0.032;-0.80902;-1.00E-12
0.0321;-0.79016;-1.00E-12
0.0322;-0.77051;-1.00E-12
0.0323;-0.75011;-1.00E-12
0.0324;-0.72897;-1.00E-12
0.0325;-0.70711;-1.00E-12
0.0326;-0.68455;-1.00E-12
0.0327;-0.66131;-1.00E-12
0.0328;-0.63742;-1.00E-12
0.0329;-0.61291;-1.00E-12
0.033;-0.58779;-1.00E-12
0.0331;-0.56208;-1.00E-12
0.0332;-0.53583;-1.00E-12
0.0333;-0.50904;-1.00E-12
0.0334;-0.48175;-1.00E-12
0.0335;-0.45399;-1.00E-12
0.0336;-0.42578;-1.00E-12
0.0337;-0.39715;-1.00E-12
0.0338;-0.36812;-1.00E-12
0.0339;-0.33874;-1.00E-12
0.034;-0.30902;-1.00E-12
0.0341;-0.27899;-1.00E-12
0.0342;-0.24869;-1.00E-12
0.0343;-0.21814;-1.00E-12
0.0344;-0.18738;-9.99E-13
0.0345;-0.15643;-9.98E-13
0.0346;-0.12533;-9.92E-13
0.0347;-0.094108;-9.74E-13
0.0348;-0.062791;-9.12E-13
0.0349;-0.031411;-7.03E-13
0.035;7.33E-14;-4.65E-16
0.0351;0.031411;2.37E-12
0.0352;0.062791;1.03E-11
0.0353;0.094108;3.71E-11
0.0354;0.12533;1.26E-10
0.0355;0.15643;4.23E-10
0.0356;0.18738;1.40E-09
0.0357;0.21814;4.62E-09
0.0358;0.24869;1.51E-08
