time,v1,v2,v3,v4,i12,i34
0,10,10,6.25,0,0,0
0.0001,9.99506560365732,9.97635335553783,6.24145410774395,0.0249330421312255,0.0187122481194847,0.0124665210656127
0.0002,9.98026728428272,9.94292736873757,6.22675964626811,0.04972016322853,0.0373399155451431,0.024860081614265
0.0003,9.9556196460308,9.89975475199292,6.20593107736817,0.0743374294903649,0.0558648940378786,0.0371687147451824
0.0004,9.92114701314478,9.84687783761787,6.17898891662977,0.0987610724744314,0.0742691755269107,0.0493805362372156
0.0005,9.87688340595138,9.78434853606479,6.14595971318149,0.122967512563977,0.0925348698865892,0.0614837562819884
0.0006,9.82287250728689,9.7122282846901,6.10687602349323,0.146933382247703,0.11064422259679,0.0734666911238515
0.0007,9.75916761938747,9.63058798711801,6.06177637924635,0.170635549190306,0.128579632269461,0.085317774595153
0.0008,9.68583161128631,9.53950794326228,6.01070524930664,0.19405113907089,0.146323668024029,0.0970255695354448
0.0009,9.60293685676943,9.43907777007492,5.95371299583852,0.217157558166705,0.163859086694509,0.108578779083352
0.001,9.51056516295154,9.32939631310019,5.89085582460259,0.239932515659934,0.181168849851344,0.119966257829967
0.0011,9.40880768954225,9.21057154892108,5.82219572948706,0.262354045645502,0.198236140621173,0.131177022822751
0.0012,9.29776485888251,9.08272047859458,5.74780043132615,0.284400528818201,0.21504438028793,0.142200264409101
0.0013,9.17754625683981,8.94596901218093,5.66774331106752,0.306050713817717,0.231577244658884,0.153025356908858
0.0014,9.04827052466019,8.80045184448071,5.58210333735305,0.327283738210501,0.247818680179487,0.163641869105251
0.0015,8.91006524188368,8.64631232210258,5.49096498858608,0.348079149087783,0.263752919781097,0.174039574543892
0.0016,8.76306680043864,8.48370230199267,5.39441816956024,0.368416923259382,0.27936449844597,0.184208461629691
0.0017,8.60742027003944,8.31278200156531,5.2925581227342,0.388277487023404,0.294638268474128,0.194138743511702
0.0018,8.44327925502015,8.13371984058308,5.18548533423749,0.407641735492317,0.30955941443707,0.203820867746158
0.0019,8.27080574274562,7.94669227494208,5.07330543470288,0.4264910514563,0.324113467803532,0.21324552572815
0.002,8.09016994374947,7.75188362252658,4.95612909502044,0.444807323765303,0.338286321222895,0.222403661882652
0.0021,7.9015501237569,7.54948588130477,4.83407191711838,0.462572965211628,0.352064242452127,0.231286482605814
0.0022,7.70513242775789,7.33969853984538,4.70725431987722,0.479770929895404,0.365433887912513,0.239885464947702
0.0023,7.5011106963046,7.12272838044178,4.57580142029007,0.496384730055837,0.378382315862813,0.248192365027918
0.0024,7.28968627421411,6.89878927503829,4.43984290998685,0.512398452351576,0.390896999175821,0.256199226175788
0.0025,7.07106781186548,6.66810197415974,4.29951292724336,0.527796773574185,0.40296583770574,0.263898386787092
0.0026,6.84547105928688,6.43089388905273,4.15494992460277,0.54256497577917,0.414577170234156,0.271282487889585
0.0027,6.61311865323652,6.1873988672537,4.00629653223845,0.556688960819655,0.425719785982819,0.278344480409827
0.0028,6.3742398974869,5.93785696180502,3.85369941719524,0.570155264268346,0.436382935681882,0.285077632134173
0.0029,6.12907053652976,5.6825141943471,3.69730913864545,0.582951068714063,0.44655634218266,0.291475534357031
0.003,5.87785252292473,5.42162231232028,3.53727999930511,0.595064216419696,0.456230210604452,0.297532108209848
0.0031,5.6208337785213,5.15543854051591,3.37376989315473,0.606483221329118,0.465395238005393,0.303241610664559
0.0032,5.35826794978997,4.88422532722216,3.20694014961662,0.61719728041118,0.47404262256781,0.30859864020559
0.0033,5.09041415750371,4.6082500852147,3.0369553743416,0.627196284329615,0.482164072289007,0.313598142164808
0.0034,4.81753674101715,4.32778492784825,2.86398328676222,0.636470827428307,0.489751813168905,0.318235413714154
0.0035,4.53990499739547,4.04310640050901,2.68819455457366,0.645012217022078,0.496798596886458,0.322506108511039
0.0036,4.25779291565073,3.75449520769346,2.50976262530436,0.652812481983822,0.503297707957269,0.326406240991911
0.0037,3.97147890634781,3.46223593598247,2.3288635551439,0.659864380619512,0.509242970365338,0.329932190309756
0.0038,3.68124552684678,3.16661677318437,2.14567583519608,0.666161407823306,0.514628753662405,0.333080703911653
0.0039,3.38737920245291,2.86792922392405,1.96038021532895,0.671697801505698,0.519449978528864,0.335848900752849
0.004,3.09016994374947,2.56646782195872,1.77315952579631,0.676468548288361,0.523702121790758,0.33823427414418
0.0041,2.78991106039229,2.26252983950438,1.58419849680526,0.680469388460067,0.527381220887912,0.340234694230034
0.0042,2.48689887164854,1.95641499385976,1.39368357620953,0.683696820188799,0.530483877788785,0.341848410094399
0.0043,2.18143241396542,1.64842515161724,1.20180274550724,0.686148102985883,0.533007262348185,0.343074051492942
0.0044,1.87381314585725,1.33886403075272,1.00874533432517,0.687821260418739,0.534949115104529,0.343910630209369
0.0045,1.56434465040231,1.02803690088842,0.814701833572632,0.688715082069558,0.536307749513888,0.344357541034779
0.0046,1.25333233564305,0.716250282024431,0.61986370744976,0.688829124737988,0.537082053618614,0.344414562368994
0.0047,0.941083133185143,0.403811642036238,0.424423204494312,0.688163712886626,0.537271491148905,0.344081856443313
0.0048,0.627905195293131,0.0910290932369172,0.228573167855304,0.686719938328895,0.536876102056214,0.343359969164447
0.0049,0.314107590781282,-0.221788911696696,0.0325068449794687,0.684499659159587,0.535896502477978,0.342249829579794
0.005,1.22124532708767e-15,-0.534333884133705,-0.163582303101267,0.681505497929166,0.534333884133706,0.340752748964583
0.0051,-0.314107590781284,-0.846297603934307,-0.359500792693079,0.677740839063592,0.532190013153022,0.338870419531796
