time,v1,v2,i12,i34
0,5,5,10,5
0.0001,5.00942047460134,4.51013821814854,9.99506560365732,4.98564512905597
0.0002,5.0364852477734,4.04073163304234,9.98026728428271,4.94378203650931
0.0003,5.0788549558681,3.59207400480344,9.9556196460308,4.8767646901627
0.0004,5.13429868755619,3.16433708570396,9.92114701314478,4.78684832558859
0.0005,5.20069484405814,2.75758139783182,9.87688340595138,4.67618856189324
0.0006,5.27603143781378,2.37176651001914,9.82287250728689,4.54684106947311
0.0007,5.3584058809903,2.00676081280215,9.75916761938747,4.40076173839718
0.0008,5.44602431272633,1.66235079269032,9.68583161128631,4.23980729855998
0.0009,5.53720051151384,1.33824980928706,9.60293685676943,4.06573634525558
0.001,5.63035443664098,1.03410638083589,9.51056516295154,3.88021072631056
0.0011,5.72401044016809,0.74951198557876,9.40880768954225,3.68479724937416
0.0012,5.81679518849486,0.48400838791744,9.29776485888251,3.48096967038765
0.0013,5.90743533020664,0.237094499778177,9.17754625683981,3.27011092663317
0.0014,5.99475494457031,0.00823278880569481,9.04827052466019,3.05351558008988
0.0015,6.07767280278985,-0.203144753933949,8.91006524188368,2.83239243909383
0.0016,6.15519947193484,-0.39763107316884,8.76306680043864,2.6078673285038
0.0017,6.22643428932586,-0.575838921238686,8.60742027003944,2.38098598071358
0.0018,6.29056223310279,-0.738396127593304,8.44327925502015,2.15271702191736
0.0019,6.34685071271835,-0.885941250574978,8.27080574274562,1.92395503002727
0.002,6.39464630119251,-1.01911959573003,8.09016994374947,1.69552364255697
0.0021,6.4333714291351,-1.13857958464638,7.9015501237569,1.4681786946218
0.0022,6.46252105879549,-1.2449694581652,7.70513242775789,1.2426113689624
0.0023,6.48165935473032,-1.3389342977572,7.5011106963046,1.01945134157428
0.0024,6.49041636609336,-1.42111334887891,7.28968627421411,0.799269908120757
0.0025,6.48848473404514,-1.49213763022418,7.07106781186548,0.582583077820332
0.0026,6.4756164363541,-1.55262781295288,6.84547105928688,0.369854622932783
0.0027,6.45161957991425,-1.60319235420548,6.61311865323652,0.161499073322263
0.0028,6.41635525063621,-1.64442586949217,6.3742398974869,-0.0421153531493108
0.0029,6.36973442897683,-1.67690772887173,6.12907053652976,-0.240663892447066
0.003,6.3117149782567,-1.70120086220291,5.87785252292473,-0.433862455331972
0.0031,6.24229871187184,-1.71785075915364,5.6208337785213,-0.621464933350537
0.0032,6.16152854453478,-1.72738465008594,5.35826794978997,-0.803260594744813
0.0033,6.06948573177811,-1.73031085439165,5.09041415750371,-0.979071574274399
0.0034,5.96628720111854,-1.72711828333243,4.81753674101715,-1.14875046010139
0.0035,5.85208297750892,-1.71827608493131,4.53990499739547,-1.31217798011345
0.0036,5.72705370499756,-1.70423341896965,4.25779291565073,-1.46926078934684
0.0037,5.59140826586521,-1.68541935065879,3.97147890634781,-1.6199293595174
0.0038,5.44538149791835,-1.66224285207621,3.68124552684678,-1.76413597107157
0.0039,5.28923201008033,-1.63509290097928,3.38737920245291,-1.90185280762741
0.004,5.12324009593606,-1.60433866713284,3.09016994374947,-2.03307015218659
0.0041,4.94770574444986,-1.57032977680684,2.78991106039229,-2.15779468405757
0.0042,4.76294674668617,-1.53339664661577,2.48689887164854,-2.27604787503762
0.0043,4.56929689701727,-1.49385087838019,2.18143241396542,-2.38786448305185
0.0044,4.36710428699764,-1.45198570719021,1.87381314585725,-2.49329114114039
0.0045,4.1567296898195,-1.40807649534048,1.56434465040231,-2.59238503941719
0.0046,3.93854503303525,-1.36238126528426,1.25333233564305,-2.6852126973922
0.0047,3.71293195703777,-1.31514126521949,0.941083133185143,-2.77184882385263
0.0048,3.48028045662687,-1.26658156137107,0.627905195293131,-2.85237526133374
0.0049,3.24098760285676,-1.21691165147072,0.314107590781282,-2.92688001207548
0.005,2.9954563422536,-1.16632609435743,1.33226762955019e-15,-2.99545634225359
0.0051,2.74409437041141,-1.1150051510273,-0.314107590781284,-3.0582019611927
0.0052,2.48731307691737,-1.06311543285119,-0.627905195293138,-3.11521827221051
0.0053,2.22552655852102,-1.0108105530517,-0.941083133185145,-3.16660969170617
0.0054,1.95915069744567,-0.958231777887303,-1.25333233564304,-3.21248303308872
0.0055,1.6886023017407,-0.905508674330692,-1.56434465040231,-3.25294695214301
0.0056,1.41429830459051,-0.85275975135134,-1.87381314585724,-3.28811145044776
0.0057,1.13665501952714,-0.800093092217697,-2.18143241396542,-3.31808743349256
0.0058,0.856087448537157,-0.747606975523767,-2.48689887164855,-3.34298632018571
0.0059,0.573008640109137,-0.69539048291743,-2.78991106039229,-3.36291970050143
0.006,0.287829094332994,-0.643524091764377,-3.09016994374947,-3.37799903808247
0.0061,0.000956212236636,-0.592080251222135,-3.38737920245292,-3.38833541468955
0.0062,-0.287206213373227,-0.541123940423842,-3.68124552684678,-3.39403931347356
0.0063,-0.576258468211356,-0.490713207681471,-3.97147890634781,-3.39522043813645
0.0064,-0.865805350507434,-0.440899689813561,-4.25779291565073,-3.39198756514329
0.0065,-1.15545657114716,-0.391729110883712,-4.53990499739547,-3.38444842624831
0.0066,-1.44482712231459,-0.343241759803599,-4.81753674101715,-3.37270961870256
0.0067,-1.73353761688559,-0.295472946408557,-5.09041415750371,-3.35687654061813
0.0068,-2.0212146007169,-0.248453435755307,-5.35826794978997,-3.33705334907307
0.0069,-2.3074908398688,-0.202209860520931,-5.62083377852131,-3.31334293865251
0.007,-2.59200558469212,-0.156765111499993,-5.87785252292473,-3.28584693823261
0.0071,-2.87440481260352,-0.112138706303453,-6.12907053652977,-3.25466572392625
