time,v1,v2,i12
0,10,0,10
0.0001,9.99506560365732,0.952145981126539,9.04291962253078
0.0002,9.98026728428272,1.81267173949258,8.16759554479013
0.0003,9.9556196460308,2.58936428479393,7.36625536123687
0.0004,9.92114701314478,3.28927086048859,6.63187615265619
0.0005,9.87688340595138,3.91877032230378,5.9581130836476
0.0006,9.82287250728689,4.4836377160481,5.33923479123879
0.0007,9.75916761938747,4.9891027015042,4.77006491788327
0.0008,9.68583161128631,5.4399024075835,4.24592920370281
0.0009,9.60293685676943,5.84032924819725,3.76260760857218
0.001,9.51056516295154,6.19427417787946,3.31629098507207
0.0011,9.40880768954225,6.50526582058113,2.90354186896113
0.0012,9.29776485888251,6.7765058637841,2.52125899509841
0.0013,9.17754625683981,7.01090107274382,2.16664518409599
0.0014,9.04827052466019,7.21109224588727,1.83717827877293
0.0015,8.91006524188368,7.37948040182867,1.53058484005501
0.0016,8.76306680043864,7.51825046081271,1.24481633962592
0.0017,8.60742027003944,7.62939265837713,0.978027611662312
0.0018,8.44327925502015,7.71472190639167,0.728557348628484
0.0019,8.27080574274562,7.77589529615273,0.494910446592884
0.002,8.09016994374947,7.81442791968557,0.275742024063902
0.0021,7.9015501237569,7.83170716864439,0.0698429551125104
0.0022,7.70513242775789,7.82900565503611,-0.123873227278215
0.0023,7.5011106963046,7.80749288427374,-0.306382187969143
0.0024,7.28968627421411,7.76824579865332,-0.478559524439206
0.0025,7.07106781186548,7.7122582981187,-0.641190486253223
0.0026,6.84547105928688,7.64044983501941,-0.794978775732527
0.0027,6.61311865323652,7.55367317037582,-0.940554517139302
0.0028,6.3742398974869,7.45272137085067,-1.07848147336377
0.0029,6.12907053652976,7.33833411810378,-1.20926358157401
0.003,5.87785252292473,7.21120339540125,-1.33335087247652
0.0031,5.6208337785213,7.0719786101938,-1.4511448316725
0.0032,5.35826794978997,6.92127120580921,-1.56300325601925
0.0033,5.09041415750371,6.75965881036518,-1.66924465286147
0.0034,4.81753674101715,6.58768896645044,-1.77015222543329
0.0035,4.53990499739547,6.40588248099862,-1.86597748360315
0.0036,4.25779291565073,6.21473643104857,-1.95694351539784
0.0037,3.97147890634781,6.01472685771054,-2.04324795136274
0.0038,3.68124552684678,5.80631117760452,-2.12506565075774
0.0039,3.38737920245291,5.5899303382755,-2.20255113582259
0.004,3.09016994374947,5.36601074159223,-2.27584079784276
0.0041,2.78991106039229,5.13496595687592,-2.34505489648362
0.0042,2.48689887164854,4.89719824346111,-2.41029937181256
0.0043,2.18143241396542,4.65309990054167,-2.47166748657624
0.0044,1.87381314585725,4.40305446048163,-2.52924131462439
0.0045,1.56434465040231,4.14743774025765,-2.58309308985534
0.0046,1.25333233564305,3.88661876433051,-2.63328642868746
0.0047,0.941083133185143,3.62096057100513,-2.67987743781999
0.0048,0.627905195293131,3.3508209132179,-2.72291571792477
0.0049,0.314107590781282,3.07655286367688,-2.7624452728956
0.005,1.22464679914735e-15,2.7985053333639,-2.7985053333639
0.0051,-0.314107590781284,2.51702351157776,-2.83113110235904
0.0052,-0.627905195293138,2.23244923494776,-2.8603544302409
0.0053,-0.941083133185145,1.94512129216805,-2.8862044253532
0.0054,-1.25333233564304,1.6553756705888,-2.90870800623185
0.0055,-1.56434465040231,1.36354575024485,-2.92789040064716
0.0056,-1.87381314585724,1.06996245039965,-2.94377559625689
0.0057,-2.18143241396543,0.774954333227175,-2.9563867471926
0.0058,-2.48689887164855,0.478847668842969,-2.96574654049152
0.0059,-2.78991106039229,0.181966465522646,-2.97187752591494
0.006,-3.09016994374947,-0.115367531391023,-2.97480241235845
0.0061,-3.38737920245292,-0.412834868696754,-2.97454433375616
0.0062,-3.68124552684678,-0.710118439739906,-2.97112708710688
0.0063,-3.97147890634781,-1.00690356134537,-2.96457534500244
0.0064,-4.25779291565073,-1.30287807083622,-2.95491484481451
0.0065,-4.53990499739547,-1.59773244090164,-2.94217255649384
0.0066,-4.81753674101715,-1.89115991026399,-2.92637683075317
0.0067,-5.09041415750371,-2.18285662826365,-2.90755752924006
0.0068,-5.35826794978997,-2.47252181163348,-2.88574613815649
0.0069,-5.62083377852131,-2.75985791187368,-2.86097586664762
0.007,-5.87785252292473,-3.04457079176409,-2.83328173116064
0.0071,-6.12907053652977,-3.32636990966535,-2.80270062686442
0.0072,-6.3742398974869,-3.60496851036468,-2.76927138712222
0.0073,-6.61311865323652,-3.88008382131678,-2.73303483191974
0.0074,-6.84547105928689,-4.15143725321629,-2.69403380607059
0.0075,-7.07106781186548,-4.41875460391724,-2.65231320794824
0.0076,-7.28968627421412,-4.68176626478605,-2.60792000942806
0.0077,-7.5011106963046,-4.94020742864065,-2.56090326766394
0.0078,-7.70513242775789,-5.19381829848738,-2.51131412927052
0.0079,-7.9015501237569,-5.44234429632262,-2.45920582743429
0.008,-8.09016994374947,-5.685536271316,-2.40463367243347
0.0081,-8.27080574274562,-5.92315070673806,-2.34765503600756
0.0082,-8.44327925502015,-6.15494992503756,-2.28832932998259
0.0083,-8.60742027003944,-6.38070229051301,-2.22671797952642
0.0084,-8.76306680043864,-6.60018240905835,-2.16288439138029
0.0085,-8.91006524188368,-6.81317132449671,-2.09689391738697
0.0086,-9.0482705246602,-7.01945671104673,-2.02881381361346
0.0087,-9.17754625683981,-7.21883306149466,-1.95871319534515
0.0088,-9.29776485888251,-7.41110187067243,-1.88666298821009
0.0089,-9.40880768954225,-7.59607181386671,-1.81273587567555
0.009,-9.51056516295153,-7.77355891980768,-1.73700624314386
0.0091,-9.60293685676943,-7.94338673790794,-1.65955011886149
0.0092,-9.68583161128631,-8.10538649944318,-1.58044511184313
0.0093,-9.75916761938747,-8.25939727238543,-1.49977034700204
0.0094,-9.82287250728689,-8.40526610961894,-1.41760639766795
0.0095,-9.87688340595138,-8.54284819028562,-1.33403521566576
0.0096,-9.92114701314478,-8.6720069540249,-1.24914005911988
0.0097,-9.9556196460308,-8.79261422788804,-1.16300541814276
0.0098,-9.98026728428272,-8.90455034572315,-1.07571693855956
0.0099,-9.99506560365732,-9.0077042598419,-0.987361343815417
0.01,-10,-9.10197364479302,-0.898026355206982
0.0101,-9.99506560365731,-9.18726499308213,-0.807800610575189
0.0102,-9.98026728428272,-9.2634937026905,-0.71677358159222
0.0103,-9.9556196460308,-9.33058415625871,-0.625035489772088
0.0104,-9.92114701314478,-9.38846979181386,-0.532677221330914
0.0105,-9.87688340595138,-9.43709316493141,-0.439790241019969
0.0106,-9.82287250728689,-9.476406002235,-0.346466505051886
0.0107,-9.75916761938747,-9.50636924614949,-0.252798373237979
0.0108,-9.68583161128631,-9.52695309083401,-0.158878520452303
0.0109,-9.60293685676943,-9.53813700923342,-0.0647998475360065
0.011,-9.51056516295154,-9.53990977119791,0.0293446082463689
0.0111,-9.40880768954226,-9.53226945263114,0.123461763088887
0.0112,-9.29776485888252,-9.51522343563888,0.217458576756364
0.0113,-9.17754625683981,-9.48878839966005,0.311242142820239
0.0114,-9.0482705246602,-9.45299030357338,0.404719778913183
0.0115,-8.91006524188368,-9.40786435878277,0.497799116899085
0.0116,-8.76306680043863,-9.35345499329499,0.590388192856359
0.0117,-8.60742027003943,-9.28981580681347,0.682395536774038
0.0118,-8.44327925502015,-9.21700951688169,0.773730261861544
0.0119,-8.27080574274562,-9.1351078961199,0.864302153374284
0.012,-8.09016994374948,-9.04419170060825,0.954021756858774
0.0121,-7.9015501237569,-8.9443505894792,1.0428004657223
0.0122,-7.70513242775789,-8.8356830357914,1.13055060803351
0.0123,-7.5011106963046,-8.71829622876663,1.21718553246203
0.0124,-7.28968627421411,-8.59230596748022,1.30261969326611
0.0125,-7.07106781186547,-8.45783654610494,1.38676873423947
0.0126,-6.84547105928688,-8.31502063081649,1.4695495715296
0.0127,-6.61311865323652,-8.16399912847794,1.55088047524142
0.0128,-6.3742398974869,-8.00492104722877,1.63068114974187
0.0129,-6.12907053652977,-7.83794334911254,1.70887281258277
0.013,-5.87785252292473,-7.66323079488537,1.78537827196064
0.0131,-5.6208337785213,-7.48095578115562,1.86012200263432
0.0132,-5.35826794978996,-7.29129817001276,1.9330302202228
0.0133,-5.09041415750371,-7.09444511131125,2.00403095380753
0.0134,-4.81753674101715,-6.8905908577826,2.07305411676545
0.0135,-4.53990499739547,-6.67993657315629,2.14003157576082
0.0136,-4.25779291565072,-6.46269013347693,2.20489721782621
0.0137,-3.9714789063478,-6.23906592181239,2.26758701546459
0.0138,-3.68124552684678,-6.00928461655381,2.32803908970703
0.0139,-3.38737920245291,-5.77357297351534,2.38619377106243
0.014,-3.09016994374948,-5.53216360204733,2.44199365829785
0.0141,-2.78991106039229,-5.2852947353829,2.49538367499062
0.0142,-2.48689887164854,-5.03320999544362,2.54631112379507
0.0143,-2.18143241396542,-4.77615815233537,2.59472573836994
0.0144,-1.87381314585724,-4.51439287877117,2.64057973291394
0.0145,-1.56434465040231,-4.24817249966247,2.68382784926016
0.0146,-1.25333233564305,-3.97775973712535,2.7244274014823
0.0147,-0.94108313318514,-3.70342145115285,2.76233831796771
0.0148,-0.627905195293133,-3.42542837620869,2.79752318091555
0.0149,-0.314107590781284,-3.14405485400188,2.82994726322059
0.015,6.43249059870655e-15,-2.85957856270557,2.85957856270558
0.0151,0.314107590781288,-2.57228024288688,2.88638783366817
0.0152,0.627905195293137,-2.28244342041792,2.91034861571106
0.0153,0.941083133185144,-1.99035412664106,2.9314372598262
0.0154,1.25333233564304,-1.69630061606438,2.94963295170742
0.0155,1.56434465040231,-1.40057308186561,2.96491773226792
0.0156,1.87381314585725,-1.1034633694851,2.97727651534235
0.0157,2.18143241396543,-0.805264688590198,2.98669710255563
0.0158,2.48689887164855,-0.506271323695227,2.99317019534378
0.0159,2.78991106039229,-0.206778343722309,2.9966894041146
0.016,3.09016994374947,0.0929186892103763,2.9972512545391
0.0161,3.38737920245291,0.392524011485692,2.99485519096722
0.0162,3.68124552684677,0.691741949882278,2.9895035769645
0.0163,3.97147890634781,0.990277213378946,2.98120169296887
0.0164,4.25779291565073,1.28783518458088,2.96995773106985
0.0165,4.53990499739547,1.58412221048014,2.95578278691533
0.0166,4.81753674101716,1.87884589226359,2.93869084875357
0.0167,5.09041415750372,2.17171537388233,2.91869878362138
0.0168,5.35826794978997,2.462441629098,2.89582632069197
0.0169,5.62083377852131,2.75073774672254,2.87009603179877
0.017,5.87785252292474,3.0363192137702,2.84153330915453
0.0171,6.12907053652977,3.3189041962423,2.81016634028747
0.0172,6.3742398974869,3.59821381726764,2.77602608021926
0.0173,6.61311865323652,3.87397243232422,2.7391462209123
0.0174,6.84547105928689,4.14590790127064,2.69956315801625
0.0175,7.07106781186548,4.41375185691879,2.65731595494669
0.0176,7.28968627421412,4.6772399698827,2.61244630433142
0.0177,7.5011106963046,4.93611220944238,2.56499848686222
0.0178,7.70513242775789,5.19011310016513,2.51501932759277
0.0179,7.9015501237569,5.43899197403106,2.46255814972585
0.018,8.09016994374948,5.68250321781412,2.40766672593536
0.0181,8.27080574274562,5.92040651547444,2.35039922727118
0.0182,8.44327925502015,6.15246708532287,2.29081216969728
0.0183,8.60742027003944,6.37845591172353,2.22896435831591
0.0184,8.76306680043864,6.59814997110596,2.16491682933268
0.0185,8.91006524188368,6.81133245206359,2.09873278982009
0.0186,9.0482705246602,7.01779296932153,2.03047755533867
0.0187,9.17754625683981,7.21732777136234,1.96021848547747
0.0188,9.29776485888251,7.40973994150508,1.88802491737743
0.0189,9.40880768954225,7.59483959223911,1.81396809730314
0.019,9.51056516295153,7.77244405262081,1.73812111033073
0.0191,9.60293685676943,7.94237804854839,1.66055880822104
0.0192,9.68583161128631,8.10447387573691,1.5813577355494
0.0193,9.75916761938747,8.25857156522263,1.50059605416485
0.0194,9.82287250728689,8.40451904123353,1.41835346605335
0.0195,9.87688340595138,8.54217227127026,1.33471113468112
0.0196,9.92114701314478,8.6713954082491,1.24975160489568
0.0197,9.9556196460308,8.79206092456707,1.16355872146373
0.0198,9.98026728428272,8.90404973795656,1.07621754632615
0.0199,9.99506560365732,9.00725132900546,0.987814274651853
0.02,10,9.10156385022672,0.898436149773282
0.0201,9.99506560365732,9.18689422656976,0.808171377087557
0.0202,9.98026728428271,9.26315824727454,0.71710903700817
0.0203,9.9556196460308,9.33028064897761,0.625338997053188
0.0204,9.92114701314478,9.3881951899881,0.532951823156672
0.0205,9.87688340595138,9.43684471566048,0.440038690290892
0.0206,9.82287250728689,9.4761812147994,0.346691292487483
0.0207,9.75916761938747,9.5061658670411,0.253001752346377
0.0208,9.68583161128631,9.5267690811645,0.159062530121806
0.0209,9.60293685676943,9.53797052429435,0.0649663324750787
0.021,9.51056516295154,9.53975914196731,-0.0291939790157763
0.0211,9.40880768954225,9.53213316904156,-0.123325479499307
0.0212,9.29776485888252,9.51510013143878,-0.217335272556262
0.0213,9.17754625683981,9.4886768387171,-0.311130581877293
0.0214,9.04827052466019,9.45288936748214,-0.404618842821947
0.0215,8.91006524188368,9.4077730356526,-0.497707793768921
0.0216,8.76306680043863,9.35337236760579,-0.590305567167158
0.0217,8.60742027003944,9.28974105023753,-0.682320780198094
0.0218,8.44327925502015,9.21694187997965,-0.773662624959499
0.0219,8.27080574274562,9.13504670082758,-0.864240958081959
0.022,8.09016994374947,9.044136333439,-0.953966389689539
0.0221,7.90155012375691,8.94430049537369,-1.04275037161678
0.0222,7.70513242775789,8.83563771255309,-1.1305052847952
0.0223,7.5011106963046,8.7182552220272,-1.2171445257226
0.0224,7.28968627421411,8.59226886614455,-1.30258259193044
0.0225,7.07106781186547,8.45780297822981,-1.38673516636434
0.0226,6.84547105928688,8.31499025988184,-1.46951920059496
0.0227,6.61311865323652,8.16397165001326,-1.55085299677674
0.0228,6.3742398974869,8.00489618576073,-1.63065628827383
0.0229,6.12907053652977,7.83792085540336,-1.7088503188736
0.023,5.87785252292473,7.66321044343421,-1.78535792050947
0.0231,5.6208337785213,7.4809373679379,-1.86010358941661
0.0232,5.35826794978997,7.29128151043483,-1.93301356064486
0.0233,5.09041415750371,7.09443003835978,-2.00401588085608
0.0234,4.81753674101716,6.89057722035032,-2.07304047933316
0.0235,4.53990499739546,6.67992423452708,-2.14001923713162
0.0236,4.25779291565074,6.46267896995528,-2.20488605430454
0.0237,3.9714789063478,6.23905582148328,-2.26757691513547
0.0238,3.68124552684676,6.0092754781608,-2.32802995131404
0.0239,3.38737920245292,5.77356470544547,-2.38618550299255
0.024,3.09016994374946,5.53215612141268,-2.44198617766322
0.0241,2.7899110603923,5.28528796718965,-2.49537690679735
0.0242,2.48689887164854,5.0332038718402,-2.54630500019166
0.0243,2.18143241396542,4.77615261193228,-2.59472019796686
0.0244,1.87381314585724,4.51438786602552,-2.64057472016828
0.0245,1.5643446504023,4.24816796432116,-2.68382331391886
0.0246,1.25333233564304,3.9777556337213,-2.72442329807827
0.0247,0.941083133185141,3.70341773854919,-2.76233460536405
0.0248,0.627905195293134,3.42542501718633,-2.79751982189319
0.0249,0.314107590781267,3.14405181488641,-2.82994422410514
0.025,3.67394039744206e-15,2.85957581302967,-2.85957581302967
0.0251,-0.314107590781295,2.57227775508488,-2.88638534586617
0.0252,-0.627905195293126,2.28244116954944,-2.91034636484257
0.0253,-0.941083133185152,1.990352090141,-2.93143522332616
0.0254,-1.25333233564305,1.69629877351671,-2.94963110915976
0.0255,-1.56434465040231,1.40057141479867,-2.96491606520099
0.0256,-1.87381314585725,1.10346186118644,-2.97727500704369
0.0257,-2.18143241396543,0.80526332393903,-2.98669573790446
0.0258,-2.48689887164855,0.506270089010838,-2.99316896065939
0.0259,-2.78991106039231,0.206777226626908,-2.99668828701922
0.026,-3.09016994374949,-0.0929196999157399,-2.99725024383375
0.0261,-3.38737920245293,-0.392524925933403,-2.99485427651952
0.0262,-3.68124552684679,-0.691742777239732,-2.98950274960706
0.0263,-3.97147890634781,-0.990277961940453,-2.98120094440736
0.0264,-4.25779291565073,-1.28783586185082,-2.96995705379992
0.0265,-4.53990499739547,-1.58412282324818,-2.95578217414729
0.0266,-4.81753674101716,-1.87884644667276,-2.93869029434439
0.0267,-5.09041415750371,-2.17171587549064,-2.91869828201308
0.0268,-5.35826794978997,-2.46244208293408,-2.89582586685588
0.0269,-5.6208337785213,-2.75073815733614,-2.87009562118517
0.027,-5.87785252292473,-3.03631958527774,-2.84153293764698
0.0271,-6.12907053652977,-3.31890453236817,-2.8101660041616
0.0272,-6.37423989748691,-3.59821412138152,-2.77602577610538
0.0273,-6.61311865323652,-3.87397270747487,-2.73914594576165
0.0274,-6.84547105928689,-4.14590815021648,-2.69956290907041
0.0275,-7.07106781186548,-4.4137520821555,-2.65731572970998
0.0276,-7.28968627421412,-4.67724017366829,-2.61244610054583
0.0277,-7.5011106963046,-4.93611239381982,-2.56499830248478
0.0278,-7.70513242775789,-5.19011326698281,-2.51501916077508
0.0279,-7.9015501237569,-5.43899212496134,-2.46255799879556
0.028,-8.09016994374947,-5.68250335437009,-2.40766658937938
0.0281,-8.27080574274562,-5.92040663902509,-2.35039910372053
0.0282,-8.44327925502016,-6.15246719710678,-2.29081205791338
0.0283,-8.60742027003944,-6.37845601286135,-2.22896425717809
0.0284,-8.76306680043864,-6.59815006261161,-2.16491673782703
0.0285,-8.91006524188368,-6.81133253485442,-2.09873270702926
0.0286,-9.0482705246602,-7.01779304422752,-2.03047748043268
0.0287,-9.17754625683981,-7.21732783913442,-1.96021841770539
0.0288,-9.29776485888252,-7.40974000282268,-1.88802485605984
0.0289,-9.40880768954225,-7.59483964771694,-1.81396804182531
0.029,-9.51056516295153,-7.77244410281503,-1.7381210601365
0.0291,-9.60293685676943,-7.94237809396222,-1.66055876280721
0.0292,-9.68583161128631,-8.10447391682562,-1.58135769446069
0.0293,-9.75916761938748,-8.25857160239812,-1.50059601698936
0.0294,-9.82287250728689,-8.4045190748685,-1.41835343241838
0.0295,-9.87688340595138,-8.5421723017019,-1.33471110424948
0.0296,-9.92114701314478,-8.67139543578249,-1.24975157736229
0.0297,-9.9556196460308,-8.79206094947823,-1.16355869655257
0.0298,-9.98026728428272,-8.90404976049523,-1.07621752378749
0.0299,-9.99506560365732,-9.00725134939759,-0.987814254259726
0.03,-10,-9.10156386867674,-0.89843613132326
0.0301,-9.99506560365731,-9.18689424326264,-0.808171360394677
0.0302,-9.98026728428271,-9.26315826237763,-0.717109021905088
0.0303,-9.9556196460308,-9.33028066264231,-0.625338983388493
0.0304,-9.92114701314478,-9.3881952023514,-0.532951810793378
0.0305,-9.87688340595138,-9.43684472684632,-0.440038679105056
0.0306,-9.82287250728689,-9.47618122491992,-0.346691282366965
0.0307,-9.75916761938747,-9.50616587619776,-0.253001743189719
0.0308,-9.68583161128631,-9.5267690894491,-0.15906252183721
0.0309,-9.60293685676943,-9.53797053178994,-0.0649663249794941
0.031,-9.51056516295154,-9.53975914874904,0.0291939857974999
0.0311,-9.40880768954225,-9.5321331751774,0.123325485635155
0.0312,-9.29776485888251,-9.51510013699026,0.217335278107749
0.0313,-9.17754625683981,-9.48867684373987,0.311130586900061
0.0314,-9.04827052466019,-9.45288937202655,0.404618847366354
0.0315,-8.91006524188368,-9.4077730397642,0.497707797880526
0.0316,-8.76306680043863,-9.35337237132582,0.590305570887184
0.0317,-8.60742027003944,-9.28974105360327,0.68232078356383
0.0318,-8.44327925502015,-9.21694188302484,0.77366262800469
0.0319,-8.27080574274561,-9.13504670358275,0.86424096083714
0.032,-8.09016994374948,-9.04413633593178,0.953966392182302
0.0321,-7.9015501237569,-8.94430049762905,1.04275037387216
0.0322,-7.7051324277579,-8.83563771459366,1.13050528683576
0.0323,-7.50111069630459,-8.71825522387343,1.21714452756884
0.0324,-7.28968627421412,-8.59226886781494,1.30258259360082
0.0325,-7.07106781186547,-8.45780297974112,1.38673516787565
0.0326,-6.84547105928687,-8.31499026124922,1.46951920196235
0.0327,-6.61311865323652,-8.16397165125041,1.55085299801389
0.0328,-6.37423989748688,-8.00489618688005,1.63065628939317
0.0329,-6.12907053652977,-7.83792085641608,1.70885031988631
0.033,-5.87785252292472,-7.66321044435048,1.78535792142576
0.0331,-5.6208337785213,-7.48093736876691,1.86010359024561
0.0332,-5.35826794978996,-7.29128151118488,1.93301356139492
0.0333,-5.09041415750371,-7.0944300390384,2.00401588153469
0.0334,-4.81753674101715,-6.89057722096431,2.07304047994716
0.0335,-4.53990499739546,-6.67992423508259,2.14001923768713
0.0336,-4.25779291565071,-6.46267897045788,2.20488605480717
0.0337,-3.97147890634781,-6.23905582193801,2.26757691559021
0.0338,-3.68124552684676,-6.00927547857223,2.32802995172546
0.0339,-3.38737920245292,-5.77356470581771,2.3861855033648
0.034,-3.09016994374946,-5.53215612174947,2.44198617800001
0.0341,-2.7899110603923,-5.28528796749437,2.49537690710207
0.0342,-2.48689887164854,-5.0332038721159,2.54630500046736
0.0343,-2.18143241396542,-4.77615261218171,2.5947201982163
0.0344,-1.87381314585724,-4.5143878662512,2.64057472039396
0.0345,-1.5643446504023,-4.24816796452535,2.68382331412305
0.0346,-1.25333233564304,-3.97775563390605,2.72442329826301
0.0347,-0.941083133185143,-3.70341773871634,2.7623346055312
0.0348,-0.627905195293117,-3.42542501733756,2.79751982204444
0.0349,-0.314107590781286,-3.14405181502324,2.82994422424195
0.035,1.28649811974131e-14,-2.85957581315347,2.85957581315348
