time,v1,v2,v3,i12,i23
0,10,5,5,5,5.55111512312578e-17
0.0001,9.99506560365732,4.99753280182866,4.99753280182866,4.99753280182866,1.11022302462516e-16
0.0002,9.98026728428272,4.99013364214136,4.99013364214136,4.99013364214136,1.11022302462516e-16
0.0003,9.9556196460308,4.9778098230154,4.9778098230154,4.9778098230154,5.55111512312578e-17
0.0004,9.92114701314478,4.96057350657239,4.96057350657239,4.96057350657239,1.11022302462516e-16
0.0005,9.87688340595138,4.93844170297569,4.93844170297569,4.93844170297569,5.55111512312578e-17
0.0006,9.82287250728689,4.91143625364344,4.91143625364344,4.91143625364344,0
0.0007,9.75916761938747,4.87958380969374,4.87958380969374,4.87958380969374,5.55111512312578e-17
0.0008,9.68583161128631,4.84291580564316,4.84291580564316,4.84291580564316,1.11022302462516e-16
0.0009,9.60293685676943,4.80146842838472,4.80146842838471,4.80146842838472,1.11022302462516e-16
0.001,9.51056516295154,4.75528258147577,4.75528258147577,4.75528258147577,5.55111512312578e-17
0.0011,9.40880768954225,4.70440384477113,4.70440384477113,4.70440384477113,1.11022302462516e-16
0.0012,9.29776485888251,4.64888242944126,4.64888242944126,4.64888242944126,5.55111512312578e-17
0.0013,9.17754625683981,4.5887731284199,4.5887731284199,4.5887731284199,0
0.0014,9.04827052466019,4.5241352623301,4.5241352623301,4.5241352623301,0
0.0015,8.91006524188368,4.45503262094184,4.45503262094184,4.45503262094184,0
0.0016,8.76306680043864,4.38153340021932,4.38153340021932,4.38153340021932,1.11022302462516e-16
0.0017,8.60742027003944,4.30371013501972,4.30371013501972,4.30371013501972,5.55111512312578e-17
0.0018,8.44327925502015,4.22163962751007,4.22163962751007,4.22163962751008,5.55111512312578e-17
0.0019,8.27080574274562,4.13540287137281,4.13540287137281,4.13540287137281,5.55111512312578e-17
0.002,8.09016994374947,4.04508497187474,4.04508497187474,4.04508497187474,5.55111512312578e-17
0.0021,7.9015501237569,3.95077506187845,3.95077506187845,3.95077506187845,5.55111512312578e-17
0.0022,7.70513242775789,3.85256621387895,3.85256621387895,3.85256621387895,0
0.0023,7.5011106963046,3.7505553481523,3.7505553481523,3.7505553481523,0
0.0024,7.28968627421411,3.64484313710706,3.64484313710706,3.64484313710706,0
0.0025,7.07106781186548,3.53553390593274,3.53553390593274,3.53553390593274,5.55111512312578e-17
0.0026,6.84547105928688,3.42273552964344,3.42273552964344,3.42273552964344,5.55111512312578e-17
0.0027,6.61311865323652,3.30655932661826,3.30655932661826,3.30655932661826,0
0.0028,6.3742398974869,3.18711994874345,3.18711994874345,3.18711994874345,5.55111512312578e-17
0.0029,6.12907053652976,3.06453526826488,3.06453526826488,3.06453526826488,0
0.003,5.87785252292473,2.93892626146237,2.93892626146237,2.93892626146237,0
0.0031,5.62083377852131,2.81041688926065,2.81041688926065,2.81041688926065,5.55111512312578e-17
0.0032,5.35826794978997,2.67913397489498,2.67913397489498,2.67913397489498,0
0.0033,5.09041415750371,2.54520707875186,2.54520707875186,2.54520707875186,0
0.0034,4.81753674101715,2.40876837050858,2.40876837050858,2.40876837050858,0
