          time,        P_elec,   delta_r_gen
  1.200000e-01, 119995364.865261,      0.293359
  1.210000e-01, 119995436.416491,      0.293360
  1.220000e-01, 119995508.314722,      0.293360
  1.230000e-01, 119995580.554303,      0.293360
  1.240000e-01, 119995653.129556,      0.293360
  1.250000e-01, 119995726.034779,      0.293360
  1.260000e-01, 119995799.264244,      0.293361
  1.270000e-01, 119995872.812199,      0.293361
  1.280000e-01, 119995946.672867,      0.293361
  1.290000e-01, 119996020.840449,      0.293361
  1.300000e-01, 119996095.309121,      0.293361
  1.310000e-01, 119996170.073036,      0.293362
  1.320000e-01, 119996245.126328,      0.293362
  1.330000e-01, 119996320.463105,      0.293362
  1.340000e-01, 119996396.077455,      0.293362
  1.350000e-01, 119996471.963448,      0.293362
  1.360000e-01, 119996548.115129,      0.293362
  1.370000e-01, 119996624.526526,      0.293363
  1.380000e-01, 119996701.191646,      0.293363
  1.390000e-01, 119996778.104478,      0.293363
  1.400000e-01, 119996855.258993,      0.293363
  1.410000e-01, 119996932.649141,      0.293363
  1.420000e-01, 119997010.268857,      0.293364
  1.430000e-01, 119997088.112059,      0.293364
  1.440000e-01, 119997166.172647,      0.293364
  1.450000e-01, 119997244.444504,      0.293364
  1.460000e-01, 119997322.921501,      0.293364
  1.470000e-01, 119997401.597489,      0.293365
  1.480000e-01, 119997480.466308,      0.293365
  1.490000e-01, 119997559.521783,      0.293365
  1.500000e-01, 119997638.757722,      0.293365
  1.510000e-01, 119997718.167925,      0.293365
  1.520000e-01, 119997797.746174,      0.293366
  1.530000e-01, 119997877.486243,      0.293366
  1.540000e-01, 119997957.381891,      0.293366
  1.550000e-01, 119998037.426868,      0.293366
  1.560000e-01, 119998117.614911,      0.293366
  1.570000e-01, 119998197.939748,      0.293367
  1.580000e-01, 119998278.395097,      0.293367
  1.590000e-01, 119998358.974666,      0.293367
  1.600000e-01, 119998439.672155,      0.293367
  1.610000e-01, 119998520.481255,      0.293367
  1.620000e-01, 119998601.395649,      0.293368
  1.630000e-01, 119998682.409012,      0.293368
  1.640000e-01, 119998763.515014,      0.293368
  1.650000e-01, 119998844.707317,      0.293368
  1.660000e-01, 119998925.979577,      0.293368
  1.670000e-01, 119999007.325445,      0.293369
  1.680000e-01, 119999088.738568,      0.293369
  1.690000e-01, 119999170.212587,      0.293369
  1.700000e-01, 119999251.741139,      0.293369
  1.710000e-01, 119999333.317859,      0.293369
  1.720000e-01, 119999414.936378,      0.293370
  1.730000e-01, 119999496.590325,      0.293370
  1.740000e-01, 119999578.273326,      0.293370
  1.750000e-01, 119999659.979007,      0.293370
  1.760000e-01, 119999741.700993,      0.293371
  1.770000e-01, 119999823.432907,      0.293371
  1.780000e-01, 119999905.168372,      0.293371
  1.790000e-01, 119999986.901015,      0.293371
  1.800000e-01, 120000068.624459,      0.293371
  1.810000e-01, 120000150.332332,      0.293372
  1.820000e-01, 120000232.018263,      0.293372
  1.830000e-01, 120000313.675883,      0.293372
  1.840000e-01, 120000395.298828,      0.293372
  1.850000e-01, 120000476.880734,      0.293372
  1.860000e-01, 120000558.415244,      0.293373
  1.870000e-01, 120000639.896004,      0.293373
  1.880000e-01, 120000721.316667,      0.293373
  1.890000e-01, 120000802.670888,      0.293373
  1.900000e-01, 120000883.952330,      0.293373
  1.910000e-01, 120000965.154664,      0.293374
  1.920000e-01, 120001046.271566,      0.293374
  1.930000e-01, 120001127.296719,      0.293374
  1.940000e-01, 120001208.223814,      0.293374
  1.950000e-01, 120001289.046554,      0.293374
  1.960000e-01, 120001369.758645,      0.293375
  1.970000e-01, 120001450.353808,      0.293375
  1.980000e-01, 120001530.825770,      0.293375
  1.990000e-01, 120001611.168270,      0.293375
  2.000000e-01, 120001691.375059,      0.293375
  2.010000e-01, 120001771.439896,      0.293376
  2.020000e-01, 120001851.356556,      0.293376
  2.030000e-01, 120001931.118823,      0.293376
  2.040000e-01, 120002010.720495,      0.293376
  2.050000e-01, 120002090.155385,      0.293376
  2.060000e-01, 120002169.417317,      0.293377
  2.070000e-01, 120002248.500130,      0.293377
  2.080000e-01, 120002327.397679,      0.293377
  2.090000e-01, 120002406.103833,      0.293377
  2.100000e-01, 120002484.612478,      0.293377
  2.110000e-01, 120002562.917514,      0.293378
  2.120000e-01, 120002641.012860,      0.293378
  2.130000e-01, 120002718.892450,      0.293378
  2.140000e-01, 120002796.550238,      0.293378
  2.150000e-01, 120002873.980194,      0.293378
  2.160000e-01, 120002951.176307,      0.293379
  2.170000e-01, 120003028.132585,      0.293379
  2.180000e-01, 120003104.843057,      0.293379
  2.190000e-01, 120003181.301769,      0.293379
  2.200000e-01, 120003257.502789,      0.293379
  2.210000e-01, 120003333.440208,      0.293380
  2.220000e-01, 120003409.108133,      0.293380
  2.230000e-01, 120003484.500699,      0.293380
  2.240000e-01, 120003559.612057,      0.293380
  2.250000e-01, 120003634.436386,      0.293380
  2.260000e-01, 120003708.967885,      0.293380
  2.270000e-01, 120003783.200778,      0.293381
  2.280000e-01, 120003857.129311,      0.293381
  2.290000e-01, 120003930.747758,      0.293381
  2.300000e-01, 120004004.050414,      0.293381
  2.310000e-01, 120004077.031602,      0.293381
  2.320000e-01, 120004149.685670,      0.293382
  2.330000e-01, 120004222.006992,      0.293382
  2.340000e-01, 120004293.989968,      0.293382
  2.350000e-01, 120004365.629027,      0.293382
  2.360000e-01, 120004436.918625,      0.293382
  2.370000e-01, 120004507.853243,      0.293382
  2.380000e-01, 120004578.427395,      0.293383
  2.390000e-01, 120004648.635621,      0.293383
  2.400000e-01, 120004718.472490,      0.293383
  2.410000e-01, 120004787.932602,      0.293383
  2.420000e-01, 120004857.010587,      0.293383
  2.430000e-01, 120004925.701103,      0.293384
  2.440000e-01, 120004993.998844,      0.293384
  2.450000e-01, 120005061.898529,      0.293384
  2.460000e-01, 120005129.394914,      0.293384
  2.470000e-01, 120005196.482784,      0.293384
  2.480000e-01, 120005263.156958,      0.293384
  2.490000e-01, 120005329.412286,      0.293385
  2.500000e-01, 120005395.243655,      0.293385
  2.510000e-01, 120005460.645982,      0.293385
  2.520000e-01, 120005525.614219,      0.293385
  2.530000e-01, 120005590.143355,      0.293385
  2.540000e-01, 120005654.228410,      0.293385
  2.550000e-01, 120005717.864441,      0.293386
  2.560000e-01, 120005781.046543,      0.293386
  2.570000e-01, 120005843.769842,      0.293386
  2.580000e-01, 120005906.029505,      0.293386
  2.590000e-01, 120005967.820734,      0.293386
  2.600000e-01, 120006029.138767,      0.293386
  2.610000e-01, 120006089.978882,      0.293386
  2.620000e-01, 120006150.336392,      0.293387
  2.630000e-01, 120006210.206651,      0.293387
  2.640000e-01, 120006269.585049,      0.293387
  2.650000e-01, 120006328.467017,      0.293387
  2.660000e-01, 120006386.848024,      0.293387
  2.670000e-01, 120006444.723581,      0.293387
  2.680000e-01, 120006502.089234,      0.293387
  2.690000e-01, 120006558.940575,      0.293388
  2.700000e-01, 120006615.273233,      0.293388
  2.710000e-01, 120006671.082880,      0.293388
  2.720000e-01, 120006726.365227,      0.293388
  2.730000e-01, 120006781.116029,      0.293388
  2.740000e-01, 120006835.331083,      0.293388
  2.750000e-01, 120006889.006226,      0.293388
  2.760000e-01, 120006942.137339,      0.293389
  2.770000e-01, 120006994.720348,      0.293389
  2.780000e-01, 120007046.751218,      0.293389
  2.790000e-01, 120007098.225961,      0.293389
  2.800000e-01, 120007149.140631,      0.293389
  2.810000e-01, 120007199.491327,      0.293389
  2.820000e-01, 120007249.274193,      0.293389
  2.830000e-01, 120007298.485417,      0.293389
  2.840000e-01, 120007347.121232,      0.293390
  2.850000e-01, 120007395.177917,      0.293390
  2.860000e-01, 120007442.651795,      0.293390
  2.870000e-01, 120007489.539237,      0.293390
  2.880000e-01, 120007535.836659,      0.293390
  2.890000e-01, 120007581.540524,      0.293390
  2.900000e-01, 120007626.647342,      0.293390
  2.910000e-01, 120007671.153668,      0.293390
  2.920000e-01, 120007715.056107,      0.293390
  2.930000e-01, 120007758.351310,      0.293391
  2.940000e-01, 120007801.035976,      0.293391
  2.950000e-01, 120007843.106851,      0.293391
  2.960000e-01, 120007884.560733,      0.293391
  2.970000e-01, 120007925.394464,      0.293391
  2.980000e-01, 120007965.604936,      0.293391
  2.990000e-01, 120008005.189093,      0.293391
  3.000000e-01, 120008044.143924,      0.293391
  3.010000e-01, 120008082.466470,      0.293391
  3.020000e-01, 120008120.153821,      0.293391
  3.030000e-01, 120008157.203118,      0.293392
  3.040000e-01, 120008193.611549,      0.293392
  3.050000e-01, 120008229.376355,      0.293392
  3.060000e-01, 120008264.494828,      0.293392
  3.070000e-01, 120008298.964310,      0.293392
  3.080000e-01, 120008332.782192,      0.293392
  3.090000e-01, 120008365.945918,      0.293392
  3.100000e-01, 120008398.452985,      0.293392
  3.110000e-01, 120008430.300937,      0.293392
  3.120000e-01, 120008461.487375,      0.293392
  3.130000e-01, 120008492.009947,      0.293392
  3.140000e-01, 120008521.866357,      0.293392
  3.150000e-01, 120008551.054359,      0.293393
  3.160000e-01, 120008579.571760,      0.293393
  3.170000e-01, 120008607.416420,      0.293393
  3.180000e-01, 120008634.586251,      0.293393
  3.190000e-01, 120008661.079218,      0.293393
  3.200000e-01, 120008686.893339,      0.293393
  3.210000e-01, 120008712.026686,      0.293393
  3.220000e-01, 120008736.477384,      0.293393
  3.230000e-01, 120008760.243611,      0.293393
  3.240000e-01, 120008783.323599,      0.293393
  3.250000e-01, 120008805.715634,      0.293393
  3.260000e-01, 120008827.418054,      0.293393
  3.270000e-01, 120008848.429254,      0.293393
  3.280000e-01, 120008868.747681,      0.293393
  3.290000e-01, 120008888.371837,      0.293393
  3.300000e-01, 120008907.300279,      0.293393
  3.310000e-01, 120008925.531616,      0.293393
  3.320000e-01, 120008943.064514,      0.293394
  3.330000e-01, 120008959.897693,      0.293394
  3.340000e-01, 120008976.029927,      0.293394
  3.350000e-01, 120008991.460046,      0.293394
  3.360000e-01, 120009006.186934,      0.293394
  3.370000e-01, 120009020.209530,      0.293394
  3.380000e-01, 120009033.526829,      0.293394
  3.390000e-01, 120009046.137879,      0.293394
  3.400000e-01, 120009058.041787,      0.293394
  3.410000e-01, 120009069.237711,      0.293394
  3.420000e-01, 120009079.724866,      0.293394
  3.430000e-01, 120009089.502525,      0.293394
  3.440000e-01, 120009098.570012,      0.293394
  3.450000e-01, 120009106.926708,      0.293394
  3.460000e-01, 120009114.572052,      0.293394
  3.470000e-01, 120009121.505536,      0.293394
  3.480000e-01, 120009127.726708,      0.293394
  3.490000e-01, 120009133.235171,      0.293394
  3.500000e-01, 120009138.030585,      0.293394
  3.510000e-01, 120009142.112666,      0.293394
  3.520000e-01, 120009145.481184,      0.293394
  3.530000e-01, 120009148.135965,      0.293394
  3.540000e-01, 120009150.076892,      0.293394
  3.550000e-01, 120009151.303902,      0.293394
  3.560000e-01, 120009151.816989,      0.293394
  3.570000e-01, 120009151.616202,      0.293394
  3.580000e-01, 120009150.701646,      0.293394
  3.590000e-01, 120009149.073482,      0.293394
  3.600000e-01, 120009146.731926,      0.293394
  3.610000e-01, 120009143.677249,      0.293394
  3.620000e-01, 120009139.909779,      0.293394
  3.630000e-01, 120009135.429898,      0.293394
  3.640000e-01, 120009130.238046,      0.293394
  3.650000e-01, 120009124.334716,      0.293394
  3.660000e-01, 120009117.720457,      0.293394
  3.670000e-01, 120009110.395875,      0.293394
  3.680000e-01, 120009102.361629,      0.293394
  3.690000e-01, 120009093.618434,      0.293394
  3.700000e-01, 120009084.167062,      0.293394
  3.710000e-01, 120009074.008337,      0.293394
  3.720000e-01, 120009063.143141,      0.293394
  3.730000e-01, 120009051.572409,      0.293394
  3.740000e-01, 120009039.297132,      0.293394
  3.750000e-01, 120009026.318355,      0.293394
  3.760000e-01, 120009012.637178,      0.293394
  3.770000e-01, 120008998.254757,      0.293394
  3.780000e-01, 120008983.172301,      0.293394
  3.790000e-01, 120008967.391073,      0.293393
  3.800000e-01, 120008950.912392,      0.293393
  3.810000e-01, 120008933.737630,      0.293393
  3.820000e-01, 120008915.868213,      0.293393
  3.830000e-01, 120008897.305623,      0.293393
  3.840000e-01, 120008878.051394,      0.293393
  3.850000e-01, 120008858.107113,      0.293393
  3.860000e-01, 120008837.474423,      0.293393
  3.870000e-01, 120008816.155019,      0.293393
  3.880000e-01, 120008794.150649,      0.293393
  3.890000e-01, 120008771.463115,      0.293393
  3.900000e-01, 120008748.094273,      0.293393
  3.910000e-01, 120008724.046030,      0.293393
  3.920000e-01, 120008699.320346,      0.293393
  3.930000e-01, 120008673.919235,      0.293393
  3.940000e-01, 120008647.844763,      0.293393
  3.950000e-01, 120008621.099046,      0.293393
  3.960000e-01, 120008593.684256,      0.293393
  3.970000e-01, 120008565.602613,      0.293392
  3.980000e-01, 120008536.856391,      0.293392
  3.990000e-01, 120008507.447917,      0.293392
  4.000000e-01, 120008477.379565,      0.293392
  4.010000e-01, 120008446.653764,      0.293392
  4.020000e-01, 120008415.272992,      0.293392
  4.030000e-01, 120008383.239779,      0.293392
  4.040000e-01, 120008350.556704,      0.293392
  4.050000e-01, 120008317.226398,      0.293392
  4.060000e-01, 120008283.251542,      0.293392
  4.070000e-01, 120008248.634866,      0.293392
  4.080000e-01, 120008213.379150,      0.293392
  4.090000e-01, 120008177.487223,      0.293391
  4.100000e-01, 120008140.961965,      0.293391
  4.110000e-01, 120008103.806304,      0.293391
  4.120000e-01, 120008066.023216,      0.293391
  4.130000e-01, 120008027.615726,      0.293391
  4.140000e-01, 120007988.586908,      0.293391
  4.150000e-01, 120007948.939885,      0.293391
  4.160000e-01, 120007908.677825,      0.293391
  4.170000e-01, 120007867.803945,      0.293391
  4.180000e-01, 120007826.321510,      0.293391
  4.190000e-01, 120007784.233832,      0.293390
  4.200000e-01, 120007741.544269,      0.293390
  4.210000e-01, 120007698.256225,      0.293390
  4.220000e-01, 120007654.373151,      0.293390
  4.230000e-01, 120007609.898546,      0.293390
  4.240000e-01, 120007564.835950,      0.293390
  4.250000e-01, 120007519.188954,      0.293390
  4.260000e-01, 120007472.961188,      0.293390
  4.270000e-01, 120007426.156333,      0.293390
  4.280000e-01, 120007378.778111,      0.293389
  4.290000e-01, 120007330.830288,      0.293389
  4.300000e-01, 120007282.316675,      0.293389
  4.310000e-01, 120007233.241127,      0.293389
  4.320000e-01, 120007183.607543,      0.293389
  4.330000e-01, 120007133.419862,      0.293389
  4.340000e-01, 120007082.682068,      0.293389
  4.350000e-01, 120007031.398188,      0.293389
  4.360000e-01, 120006979.572290,      0.293388
  4.370000e-01, 120006927.208483,      0.293388
  4.380000e-01, 120006874.310919,      0.293388
  4.390000e-01, 120006820.883791,      0.293388
  4.400000e-01, 120006766.931331,      0.293388
  4.410000e-01, 120006712.457813,      0.293388
  4.420000e-01, 120006657.467552,      0.293388
  4.430000e-01, 120006601.964901,      0.293387
  4.440000e-01, 120006545.954252,      0.293387
  4.450000e-01, 120006489.440038,      0.293387
  4.460000e-01, 120006432.426730,      0.293387
  4.470000e-01, 120006374.918836,      0.293387
  4.480000e-01, 120006316.920905,      0.293387
  4.490000e-01, 120006258.437520,      0.293387
  4.500000e-01, 120006199.473304,      0.293386
  4.510000e-01, 120006140.032916,      0.293386
  4.520000e-01, 120006080.121051,      0.293386
  4.530000e-01, 120006019.742442,      0.293386
  4.540000e-01, 120005958.901855,      0.293386
  4.550000e-01, 120005897.604095,      0.293386
  4.560000e-01, 120005835.853998,      0.293385
  4.570000e-01, 120005773.656439,      0.293385
  4.580000e-01, 120005711.016323,      0.293385
  4.590000e-01, 120005647.938592,      0.293385
  4.600000e-01, 120005584.428221,      0.293385
  4.610000e-01, 120005520.490216,      0.293385
  4.620000e-01, 120005456.129618,      0.293385
  4.630000e-01, 120005391.351501,      0.293384
  4.640000e-01, 120005326.160968,      0.293384
  4.650000e-01, 120005260.563156,      0.293384
  4.660000e-01, 120005194.563232,      0.293384
  4.670000e-01, 120005128.166393,      0.293384
  4.680000e-01, 120005061.377869,      0.293384
  4.690000e-01, 120004994.202917,      0.293383
  4.700000e-01, 120004926.646825,      0.293383
  4.710000e-01, 120004858.714910,      0.293383
  4.720000e-01, 120004790.412517,      0.293383
  4.730000e-01, 120004721.745020,      0.293383
  4.740000e-01, 120004652.717820,      0.293383
  4.750000e-01, 120004583.336346,      0.293382
  4.760000e-01, 120004513.606054,      0.293382
  4.770000e-01, 120004443.532425,      0.293382
  4.780000e-01, 120004373.120969,      0.293382
  4.790000e-01, 120004302.377220,      0.293382
  4.800000e-01, 120004231.306736,      0.293381
  4.810000e-01, 120004159.915102,      0.293381
  4.820000e-01, 120004088.207926,      0.293381
  4.830000e-01, 120004016.190840,      0.293381
  4.840000e-01, 120003943.869501,      0.293381
  4.850000e-01, 120003871.249586,      0.293381
  4.860000e-01, 120003798.336798,      0.293380
  4.870000e-01, 120003725.136860,      0.293380
  4.880000e-01, 120003651.655518,      0.293380
  4.890000e-01, 120003577.898536,      0.293380
  4.900000e-01, 120003503.871704,      0.293380
  4.910000e-01, 120003429.580828,      0.293379
  4.920000e-01, 120003355.031736,      0.293379
  4.930000e-01, 120003280.230274,      0.293379
  4.940000e-01, 120003205.182309,      0.293379
  4.950000e-01, 120003129.893724,      0.293379
  4.960000e-01, 120003054.370422,      0.293378
  4.970000e-01, 120002978.618323,      0.293378
  4.980000e-01, 120002902.643364,      0.293378
  4.990000e-01, 120002826.451498,      0.293378
  5.000000e-01, 120002750.048696,      0.293378
  5.010000e-01, 120002673.440942,      0.293378
  5.020000e-01, 120002596.634238,      0.293377
  5.030000e-01, 120002519.634599,      0.293377
  5.040000e-01, 120002442.448054,      0.293377
  5.050000e-01, 120002365.080648,      0.293377
  5.060000e-01, 120002287.538438,      0.293377
  5.070000e-01, 120002209.827493,      0.293376
  5.080000e-01, 120002131.953895,      0.293376
  5.090000e-01, 120002053.923740,      0.293376
  5.100000e-01, 120001975.743131,      0.293376
  5.110000e-01, 120001897.418187,      0.293376
  5.120000e-01, 120001818.955034,      0.293375
  5.130000e-01, 120001740.359810,      0.293375
  5.140000e-01, 120001661.638660,      0.293375
  5.150000e-01, 120001582.797741,      0.293375
  5.160000e-01, 120001503.843217,      0.293375
  5.170000e-01, 120001424.781261,      0.293374
  5.180000e-01, 120001345.618052,      0.293374
  5.190000e-01, 120001266.359778,      0.293374
  5.200000e-01, 120001187.012632,      0.293374
  5.210000e-01, 120001107.582814,      0.293374
  5.220000e-01, 120001028.076530,      0.293373
  5.230000e-01, 120000948.499991,      0.293373
  5.240000e-01, 120000868.859412,      0.293373
  5.250000e-01, 120000789.161013,      0.293373
  5.260000e-01, 120000709.411018,      0.293373
  5.270000e-01, 120000629.615652,      0.293372
  5.280000e-01, 120000549.781146,      0.293372
  5.290000e-01, 120000469.913731,      0.293372
  5.300000e-01, 120000390.019641,      0.293372
  5.310000e-01, 120000310.105111,      0.293372
  5.320000e-01, 120000230.176376,      0.293371
  5.330000e-01, 120000150.239672,      0.293371
  5.340000e-01, 120000070.301236,      0.293371
  5.350000e-01, 119999990.367301,      0.293371
  5.360000e-01, 119999910.444103,      0.293371
  5.370000e-01, 119999830.537874,      0.293370
  5.380000e-01, 119999750.654844,      0.293370
  5.390000e-01, 119999670.801241,      0.293370
  5.400000e-01, 119999590.983289,      0.293370
  5.410000e-01, 119999511.207210,      0.293370
  5.420000e-01, 119999431.479220,      0.293369
  5.430000e-01, 119999351.805533,      0.293369
  5.440000e-01, 119999272.192356,      0.293369
  5.450000e-01, 119999192.645891,      0.293369
  5.460000e-01, 119999113.172334,      0.293369
  5.470000e-01, 119999033.777874,      0.293368
  5.480000e-01, 119998954.468694,      0.293368
  5.490000e-01, 119998875.250970,      0.293368
  5.500000e-01, 119998796.130869,      0.293368
  5.510000e-01, 119998717.114549,      0.293368
  5.520000e-01, 119998638.208162,      0.293367
  5.530000e-01, 119998559.417847,      0.293367
  5.540000e-01, 119998480.749735,      0.293367
  5.550000e-01, 119998402.209948,      0.293367
  5.560000e-01, 119998323.804595,      0.293367
  5.570000e-01, 119998245.539775,      0.293366
  5.580000e-01, 119998167.421574,      0.293366
  5.590000e-01, 119998089.456068,      0.293366
  5.600000e-01, 119998011.649318,      0.293366
  5.610000e-01, 119997934.007373,      0.293366
  5.620000e-01, 119997856.536268,      0.293365
  5.630000e-01, 119997779.242026,      0.293365
  5.640000e-01, 119997702.130652,      0.293365
  5.650000e-01, 119997625.208138,      0.293365
  5.660000e-01, 119997548.480460,      0.293365
  5.670000e-01, 119997471.953578,      0.293364
  5.680000e-01, 119997395.633437,      0.293364
  5.690000e-01, 119997319.525963,      0.293364
  5.700000e-01, 119997243.637066,      0.293364
  5.710000e-01, 119997167.972638,      0.293364
  5.720000e-01, 119997092.538552,      0.293363
  5.730000e-01, 119997017.340663,      0.293363
  5.740000e-01, 119996942.384807,      0.293363
  5.750000e-01, 119996867.676801,      0.293363
  5.760000e-01, 119996793.222439,      0.293363
  5.770000e-01, 119996719.027499,      0.293363
  5.780000e-01, 119996645.097734,      0.293362
  5.790000e-01, 119996571.438877,      0.293362
  5.800000e-01, 119996498.056640,      0.293362
  5.810000e-01, 119996424.956713,      0.293362
  5.820000e-01, 119996352.144761,      0.293362
  5.830000e-01, 119996279.626428,      0.293361
  5.840000e-01, 119996207.407333,      0.293361
  5.850000e-01, 119996135.493072,      0.293361
  5.860000e-01, 119996063.889215,      0.293361
  5.870000e-01, 119995992.601310,      0.293361
  5.880000e-01, 119995921.634877,      0.293361
  5.890000e-01, 119995850.995410,      0.293360
  5.900000e-01, 119995780.688380,      0.293360
  5.910000e-01, 119995710.719227,      0.293360
  5.920000e-01, 119995641.093368,      0.293360
  5.930000e-01, 119995571.816190,      0.293360
  5.940000e-01, 119995502.893053,      0.293359
  5.950000e-01, 119995434.329288,      0.293359
  5.960000e-01, 119995366.130199,      0.293359
  5.970000e-01, 119995298.301060,      0.293359
  5.980000e-01, 119995230.847114,      0.293359
  5.990000e-01, 119995163.773576,      0.293359
  6.000000e-01, 119995097.085631,      0.293358
  6.010000e-01, 119995030.788431,      0.293358
  6.020000e-01, 119994964.887099,      0.293358
  6.030000e-01, 119994899.386725,      0.293358
  6.040000e-01, 119994834.292369,      0.293358
  6.050000e-01, 119994769.609057,      0.293358
  6.060000e-01, 119994705.341782,      0.293357
