          time,        P_elec,   delta_r_gen
  0.000000e+00, 120000000.000000,      0.293347
  1.000000e-03, 119990642.493423,      0.293347
  2.000000e-03, 119990643.223286,      0.293347
  3.000000e-03, 119990644.670066,      0.293347
  4.000000e-03, 119990646.820988,      0.293347
  5.000000e-03, 119990649.663449,      0.293347
  6.000000e-03, 119990653.185015,      0.293347
  7.000000e-03, 119990657.373417,      0.293347
  8.000000e-03, 119990662.216553,      0.293347
  9.000000e-03, 119990667.702482,      0.293347
  1.000000e-02, 119990673.819423,      0.293348
  1.100000e-02, 119990680.555756,      0.293348
  1.200000e-02, 119990687.900016,      0.293348
  1.300000e-02, 119990695.840895,      0.293348
  1.400000e-02, 119990704.367236,      0.293348
  1.500000e-02, 119990713.468035,      0.293348
  1.600000e-02, 119990723.132437,      0.293348
  1.700000e-02, 119990733.349734,      0.293348
  1.800000e-02, 119990744.109365,      0.293348
  1.900000e-02, 119990755.400914,      0.293348
  2.000000e-02, 119990767.214104,      0.293348
  2.100000e-02, 119990779.538804,      0.293348
  2.200000e-02, 119990792.365017,      0.293348
  2.300000e-02, 119990805.682886,      0.293348
  2.400000e-02, 119990819.482690,      0.293348
  2.500000e-02, 119990833.754841,      0.293348
  2.600000e-02, 119990848.489884,      0.293348
  2.700000e-02, 119990863.678495,      0.293348
  2.800000e-02, 119990879.311479,      0.293348
  2.900000e-02, 119990895.379769,      0.293348
  3.000000e-02, 119990911.874424,      0.293348
  3.100000e-02, 119990928.786626,      0.293348
  3.200000e-02, 119990946.107684,      0.293348
  3.300000e-02, 119990963.829026,      0.293348
  3.400000e-02, 119990981.942199,      0.293348
  3.500000e-02, 119991000.438872,      0.293348
  3.600000e-02, 119991019.310829,      0.293348
  3.700000e-02, 119991038.549970,      0.293348
  3.800000e-02, 119991058.148310,      0.293349
  3.900000e-02, 119991078.097977,      0.293349
  4.000000e-02, 119991098.391210,      0.293349
  4.100000e-02, 119991119.020358,      0.293349
  4.200000e-02, 119991139.977881,      0.293349
  4.300000e-02, 119991161.256343,      0.293349
  4.400000e-02, 119991182.848419,      0.293349
  4.500000e-02, 119991204.746884,      0.293349
