time, v_inv, v_c, i1, i2
0,0,0,0,0
1e-06,-0.074766,8.6481e-06,-6.2868e-05,-0.00031897
2e-06,-0.14132,6.8792e-05,-0.00024467,-0.0012754
3e-06,-0.19166,0.00023339,-0.00052511,-0.0028683
4e-06,-0.21821,0.00055794,-0.00087099,-0.0050965
5e-06,-0.21404,0.0011011,-0.001237,-0.0079583
6e-06,-0.17302,0.0019267,-0.0015673,-0.011452
7e-06,-0.090013,0.0031051,-0.0017964,-0.015574
8e-06,0.038988,0.0047126,-0.0018516,-0.020322
9e-06,0.21673,0.0068332,-0.0016543,-0.025693
1e-05,0.4446,0.009559,-0.0011232,-0.031683
1.1e-05,0.72259,0.012988,-0.00017499,-0.038286
1.2e-05,1.0492,0.017226,0.0012709,-0.045498
1.3e-05,1.4216,0.022388,0.0032916,-0.053313
1.4e-05,1.8354,0.028596,0.0059582,-0.061723
1.5e-05,2.2849,0.035975,0.0093332,-0.070721
1.6e-05,2.7633,0.044658,0.013468,-0.080298
1.7e-05,3.2625,0.054778,0.018402,-0.090446
1.8e-05,3.7736,0.066476,0.024161,-0.10115
1.9e-05,4.2868,0.079892,0.030752,-0.11241
2e-05,4.7918,0.095163,0.038168,-0.1242
2.1e-05,5.278,0.11242,0.046382,-0.13652
2.2e-05,5.7347,0.1318,0.055352,-0.14935
2.3e-05,6.1511,0.15342,0.065016,-0.16267
2.4e-05,6.5171,0.17739,0.075292,-0.17647
2.5e-05,6.823,0.20382,0.086087,-0.19074
2.6e-05,7.0601,0.2328,0.097287,-0.20546
2.7e-05,7.2207,0.2644,0.10877,-0.2206
2.8e-05,7.2985,0.2987,0.12039,-0.23616
2.9e-05,7.2885,0.33574,0.13201,-0.25212
3e-05,7.1875,0.37554,0.14347,-0.26845
3.1e-05,6.994,0.41814,0.15462,-0.28513
3.2e-05,6.7083,0.46351,0.16529,-0.30216
3.3e-05,6.3328,0.51163,0.17534,-0.31951
3.4e-05,5.8717,0.56248,0.1846,-0.33716
3.5e-05,5.3312,0.61598,0.19293,-0.3551
3.6e-05,4.7194,0.67207,0.20022,-0.3733
3.7e-05,4.046,0.73066,0.20633,-0.39176
3.8e-05,3.3225,0.79166,0.21117,-0.41046
3.9e-05,2.562,0.85495,0.21467,-0.42937
4e-05,1.7786,0.92043,0.21677,-0.44849
4.1e-05,0.9877,0.98797,0.21745,-0.4678
4.2e-05,0.20525,1.0574,0.2167,-0.48729
4.3e-05,-0.55219,1.1287,0.21455,-0.50694
4.4e-05,-1.2679,1.2017,0.21105,-0.52675
4.5e-05,-1.9252,1.2763,0.20628,-0.5467
4.6e-05,-2.5081,1.3523,0.20035,-0.56678
4.7e-05,-3.0011,1.4297,0.19339,-0.58699
4.8e-05,-3.3899,1.5083,0.18557,-0.60731
4.9e-05,-3.6617,1.5882,0.17707,-0.62774
5e-05,-3.8051,1.6693,0.16808,-0.64827
5.1e-05,-3.811,1.7515,0.15884,-0.66889
5.2e-05,-3.6721,1.8348,0.14957,-0.6896
5.3e-05,-3.3837,1.9193,0.14051,-0.71038
5.4e-05,-2.9437,2.005,0.13193,-0.73123
5.5e-05,-2.3524,2.092,0.12406,-0.75214
5.6e-05,-1.6129,2.1803,0.11715,-0.77311
5.7e-05,-0.7312,2.2701,0.11145,-0.79411
5.8e-05,0.28417,2.3615,0.10719,-0.81515
5.9e-05,1.422,2.4546,0.10457,-0.83621
6e-05,2.6684,2.5497,0.10378,-0.85728
6.1e-05,4.0075,2.6469,0.10498,-0.87835
6.2e-05,5.4209,2.7464,0.10832,-0.8994
6.3e-05,6.8886,2.8485,0.11389,-0.92041
6.4e-05,8.3891,2.9534,0.12176,-0.94138
6.5e-05,9.8995,3.0612,0.13197,-0.96227
6.6e-05,11.396,3.1723,0.1445,-0.98308
6.7e-05,12.855,3.2868,0.15931,-1.0038
6.8e-05,14.252,3.405,0.17631,-1.0243
6.9e-05,15.563,3.527,0.19536,-1.0447
7e-05,16.766,3.653,0.2163,-1.0649
7.1e-05,17.839,3.7833,0.23892,-1.0849
7.2e-05,18.762,3.9178,0.26298,-1.1047
7.3e-05,19.516,4.0568,0.28821,-1.1242
7.4e-05,20.087,4.2003,0.31431,-1.1434
7.5e-05,20.462,4.3484,0.34095,-1.1623
7.6e-05,20.63,4.5009,0.36779,-1.1808
7.7e-05,20.585,4.658,0.39447,-1.1989
7.8e-05,20.324,4.8196,0.42063,-1.2166
7.9e-05,19.848,4.9854,0.44589,-1.2339
8e-05,19.16,5.1555,0.4699,-1.2507
8.1e-05,18.268,5.3295,0.4923,-1.267
8.2e-05,17.184,5.5072,0.51276,-1.2828
8.3e-05,15.923,5.6885,0.53095,-1.298
8.4e-05,14.502,5.8729,0.54661,-1.3127
8.5e-05,12.944,6.0602,0.55946,-1.3268
8.6e-05,11.271,6.25,0.56931,-1.3403
8.7e-05,9.512,6.442,0.57597,-1.3531
8.8e-05,7.694,6.6357,0.57932,-1.3654
8.9e-05,5.8476,6.8308,0.57928,-1.377
9e-05,4.0042,7.0268,0.57585,-1.388
9.1e-05,2.1958,7.2234,0.56903,-1.3983
9.2e-05,0.45443,7.4201,0.55893,-1.4079
9.3e-05,-1.1882,7.6166,0.54568,-1.4169
9.4e-05,-2.7014,7.8125,0.52948,-1.4253
9.5e-05,-4.056,8.0075,0.51055,-1.433
9.6e-05,-5.2249,8.2011,0.4892,-1.44
9.7e-05,-6.1834,8.3932,0.46575,-1.4465
9.8e-05,-6.91,8.5835,0.44058,-1.4523
9.9e-05,-7.3864,8.7717,0.4141,-1.4576
0.0001,-7.5982,8.9577,0.38673,-1.4622
0.000101,-7.535,9.1414,0.35893,-1.4663
0.000102,-7.1908,9.3227,0.33118,-1.4698
0.000103,-6.5641,9.5016,0.30394,-1.4728
0.000104,-5.658,9.6781,0.27768,-1.4752
0.000105,-4.4803,9.8522,0.25288,-1.4772
0.000106,-3.0434,10.024,0.22997,-1.4786
0.000107,-1.3642,10.194,0.20938,-1.4796
0.000108,0.53617,10.362,0.1915,-1.4801
0.000109,2.6324,10.528,0.17667,-1.4801
0.00011,4.8957,10.693,0.16521,-1.4798
0.000111,7.2939,10.857,0.15737,-1.4789
0.000112,9.792,11.021,0.15334,-1.4777
0.000113,12.353,11.184,0.15325,-1.476
0.000114,14.938,11.347,0.15719,-1.4739
0.000115,17.507,11.51,0.16516,-1.4714
0.000116,20.02,11.674,0.1771,-1.4684
0.000117,22.436,11.839,0.19287,-1.465
0.000118,24.717,12.006,0.21228,-1.4612
0.000119,26.825,12.174,0.23507,-1.4569
0.00012,28.724,12.344,0.26092,-1.4521
0.000121,30.382,12.517,0.28945,-1.4469
0.000122,31.77,12.692,0.32023,-1.4412
0.000123,32.861,12.869,0.35278,-1.4349
0.000124,33.636,13.049,0.38658,-1.4282
0.000125,34.079,13.232,0.42108,-1.4209
0.000126,34.178,13.417,0.45573,-1.413
0.000127,33.928,13.606,0.48994,-1.4046
0.000128,33.329,13.796,0.52311,-1.3956
0.000129,32.387,13.989,0.55468,-1.3859
0.00013,31.113,14.184,0.58407,-1.3757
0.000131,29.525,14.381,0.61074,-1.3648
0.000132,27.644,14.579,0.63418,-1.3532
0.000133,25.499,14.778,0.65393,-1.341
0.000134,23.121,14.978,0.66957,-1.3282
0.000135,20.547,15.178,0.68074,-1.3147
0.000136,17.817,15.377,0.68715,-1.3005
0.000137,14.974,15.575,0.68858,-1.2857
0.000138,12.065,15.772,0.68488,-1.2703
0.000139,9.1354,15.966,0.67599,-1.2542
0.00014,6.2349,16.157,0.66191,-1.2375
0.000141,3.4119,16.346,0.64274,-1.2202
0.000142,0.71441,16.53,0.61865,-1.2023
0.000143,-1.8107,16.71,0.58991,-1.184
0.000144,-4.119,16.884,0.55685,-1.1651
0.000145,-6.1687,17.054,0.51986,-1.1457
0.000146,-7.9217,17.217,0.47943,-1.1259
0.000147,-9.3442,17.375,0.43609,-1.1057
0.000148,-10.407,17.526,0.39043,-1.0851
0.000149,-11.088,17.67,0.34307,-1.0643
0.00015,-11.367,17.807,0.29468,-1.0431
0.000151,-11.235,17.937,0.24596,-1.0218
0.000152,-10.686,18.061,0.1976,-1.0002
0.000153,-9.7216,18.177,0.15031,-0.97855
0.000154,-8.3506,18.287,0.10478,-0.9568
0.000155,-6.5882,18.389,0.061701,-0.935
0.000156,-4.4559,18.486,0.021712,-0.91321
0.000157,-1.9817,18.577,-0.014585,-0.89146
0.000158,0.80085,18.661,-0.046636,-0.86979
0.000159,3.8525,18.741,-0.073952,-0.84823
0.00016,7.1293,18.816,-0.096114,-0.82682
0.000161,10.583,18.888,-0.11278,-0.80558
0.000162,14.162,18.955,-0.12369,-0.78454
0.000163,17.813,19.02,-0.12867,-0.76372
0.000164,21.479,19.082,-0.12766,-0.74313
0.000165,25.103,19.143,-0.12066,-0.7228
0.000166,28.628,19.203,-0.10781,-0.70272
0.000167,31.998,19.262,-0.089297,-0.6829
0.000168,35.16,19.322,-0.06544,-0.66334
0.000169,38.061,19.382,-0.036626,-0.64405
0.00017,40.654,19.444,-0.0033348,-0.625
0.000171,42.894,19.507,0.033882,-0.60621
0.000172,44.744,19.572,0.074399,-0.58764
0.000173,46.172,19.639,0.11753,-0.56929
0.000174,47.15,19.709,0.16255,-0.55114
0.000175,47.66,19.782,0.20869,-0.53317
0.000176,47.69,19.858,0.25514,-0.51537
0.000177,47.235,19.936,0.30111,-0.49771
0.000178,46.299,20.017,0.34577,-0.48018
0.000179,44.892,20.101,0.38833,-0.46276
0.00018,43.035,20.187,0.42802,-0.44543
0.000181,40.753,20.276,0.46411,-0.42818
0.000182,38.079,20.366,0.49591,-0.411
0.000183,35.053,20.457,0.52279,-0.39388
0.000184,31.722,20.549,0.54422,-0.3768
0.000185,28.136,20.641,0.55971,-0.35977
0.000186,24.353,20.733,0.56891,-0.34279
0.000187,20.431,20.823,0.57152,-0.32587
0.000188,16.434,20.912,0.56738,-0.309
0.000189,12.427,20.998,0.5564,-0.29221
0.00019,8.4736,21.081,0.53865,-0.27552
0.000191,4.6404,21.161,0.51427,-0.25894
0.000192,0.99106,21.236,0.48352,-0.24251
0.000193,-2.4127,21.306,0.44677,-0.22625
0.000194,-5.5124,21.37,0.40448,-0.2102
0.000195,-8.2539,21.429,0.35723,-0.1944
0.000196,-10.588,21.48,0.30566,-0.17888
0.000197,-12.473,21.525,0.25049,-0.16369
0.000198,-13.87,21.563,0.19252,-0.14888
0.000199,-14.753,21.594,0.1326,-0.13449
0.0002,-15.1,21.617,0.071624,-0.12058
0.000201,-14.899,21.632,0.010499,-0.10718
0.000202,-14.146,21.64,-0.049839,-0.094358
0.000203,-12.845,21.641,-0.10846,-0.082148
0.000204,-11.011,21.635,-0.16446,-0.070599
0.000205,-8.6668,21.622,-0.21694,-0.059756
0.000206,-5.8423,21.604,-0.26508,-0.049659
0.000207,-2.5766,21.58,-0.30809,-0.040345
0.000208,1.0841,21.551,-0.34527,-0.031848
0.000209,5.0866,21.517,-0.376,-0.024197
0.00021,9.372,21.48,-0.39975,-0.017417
0.000211,13.876,21.441,-0.4161,-0.011526
0.000212,18.531,21.4,-0.42474,-0.0065395
0.000213,23.266,21.358,-0.42547,-0.002465
0.000214,28.007,21.316,-0.41823,0.0006949
0.000215,32.681,21.274,-0.40306,0.0029434
0.000216,37.213,21.235,-0.38015,0.0042895
0.000217,41.533,21.198,-0.34979,0.0047481
0.000218,45.57,21.164,-0.31241,0.004339
0.000219,49.26,21.135,-0.26853,0.0030877
0.00022,52.542,21.11,-0.21879,0.0010242
0.000221,55.363,21.091,-0.16394,-0.0018173
0.000222,57.673,21.078,-0.10478,-0.0053987
0.000223,59.434,21.071,-0.042224,-0.0096786
0.000224,60.614,21.071,0.022782,-0.014613
0.000225,61.19,21.079,0.089237,-0.020156
0.000226,61.151,21.093,0.15611,-0.02626
0.000227,60.492,21.115,0.22236,-0.032877
0.000228,59.221,21.144,0.28695,-0.03996
0.000229,57.353,21.18,0.34885,-0.047461
0.00023,54.914,21.223,0.40709,-0.055334
0.000231,51.941,21.273,0.46072,-0.063537
0.000232,48.478,21.328,0.50889,-0.072029
0.000233,44.577,21.389,0.55081,-0.080772
0.000234,40.297,21.454,0.58579,-0.089733
0.000235,35.706,21.524,0.61325,-0.098884
0.000236,30.875,21.596,0.63273,-0.1082
0.000237,25.881,21.672,0.64389,-0.11766
0.000238,20.803,21.748,0.64651,-0.12726
0.000239,15.723,21.826,0.64053,-0.13698
0.00024,10.723,21.904,0.62601,-0.14683
0.000241,5.8858,21.98,0.60315,-0.1568
0.000242,1.2902,22.055,0.5723,-0.1669
0.000243,-2.9869,22.128,0.53392,-0.17715
0.000244,-6.8732,22.197,0.48862,-0.18757
0.000245,-10.302,22.263,0.43712,-0.19818
0.000246,-13.214,22.324,0.38022,-0.209
0.000247,-15.557,22.381,0.31885,-0.22006
0.000248,-17.288,22.432,0.254,-0.2314
0.000249,-18.372,22.478,0.18672,-0.24306
0.00025,-18.786,22.518,0.11814,-0.25506
0.000251,-18.515,22.552,0.04939,-0.26744
0.000252,-17.559,22.581,-0.018382,-0.28025
0.000253,-15.924,22.605,-0.084024,-0.29352
0.000254,-13.63,22.623,-0.14641,-0.30727
0.000255,-10.707,22.637,-0.20447,-0.32154
0.000256,-7.1941,22.647,-0.25716,-0.33637
0.000257,-3.1417,22.653,-0.30355,-0.35177
0.000258,1.3916,22.657,-0.34277,-0.36776
0.000259,6.339,22.659,-0.37409,-0.38436
0.00026,11.627,22.659,-0.39685,-0.40157
0.000261,17.175,22.66,-0.41058,-0.41941
0.000262,22.899,22.661,-0.4149,-0.43787
0.000263,28.711,22.665,-0.4096,-0.45693
0.000264,34.52,22.671,-0.39462,-0.47659
0.000265,40.236,22.682,-0.37003,-0.49682
0.000266,45.769,22.697,-0.33608,-0.51758
0.000267,51.031,22.718,-0.29316,-0.53885
0.000268,55.939,22.746,-0.24181,-0.56057
0.000269,60.412,22.782,-0.18269,-0.58271
0.00027,64.379,22.827,-0.1166,-0.60521
0.000271,67.775,22.88,-0.044467,-0.62801
0.000272,70.542,22.943,0.032703,-0.65105
0.000273,72.633,23.017,0.1138,-0.67427
0.000274,74.014,23.101,0.19765,-0.69759
0.000275,74.656,23.196,0.28303,-0.72094
0.000276,74.548,23.302,0.36867,-0.74426
0.000277,73.686,23.419,0.4533,-0.76748
0.000278,72.081,23.546,0.53566,-0.79052
0.000279,69.754,23.684,0.6145,-0.81331
0.00028,66.739,23.831,0.68863,-0.83579
0.000281,63.08,23.988,0.75693,-0.8579
0.000282,58.833,24.154,0.81836,-0.87958
0.000283,54.062,24.328,0.87196,-0.90076
0.000284,48.841,24.508,0.91693,-0.92142
0.000285,43.251,24.695,0.95256,-0.9415
0.000286,37.379,24.887,0.9783,-0.96096
0.000287,31.32,25.083,0.99377,-0.97978
0.000288,25.169,25.281,0.99871,-0.99794
0.000289,19.025,25.482,0.99307,-1.0154
0.00029,12.987,25.683,0.97692,-1.0322
0.000291,7.1522,25.883,0.95053,-1.0483
0.000292,1.6175,26.082,0.91433,-1.0637
0.000293,-3.5263,26.278,0.8689,-1.0785
0.000294,-8.1932,26.471,0.81496,-1.0926
0.000295,-12.305,26.66,0.75339,-1.1061
0.000296,-15.79,26.843,0.68518,-1.119
0.000297,-18.588,27.02,0.61144,-1.1314
0.000298,-20.648,27.191,0.53336,-1.1432
0.000299,-21.932,27.355,0.45223,-1.1546
0.0003,-22.411,27.512,0.36937,-1.1656
0.000301,-22.073,27.662,0.28616,-1.1762
0.000302,-20.914,27.805,0.20396,-1.1864
0.000303,-18.947,27.94,0.12414,-1.1964
0.000304,-16.196,28.069,0.048061,-1.2062
0.000305,-12.699,28.191,-0.023006,-1.2157
0.000306,-8.5031,28.308,-0.087841,-1.2251
0.000307,-3.6701,28.419,-0.14532,-1.2344
0.000308,1.7291,28.526,-0.19444,-1.2436
0.000309,7.6141,28.629,-0.23431,-1.2528
0.00031,13.896,28.73,-0.26419,-1.2619
0.000311,20.48,28.829,-0.2835,-1.271
0.000312,27.264,28.928,-0.29181,-1.2801
0.000313,34.144,29.027,-0.28889,-1.2891
0.000314,41.013,29.128,-0.27467,-1.2982
0.000315,47.763,29.232,-0.24925,-1.3072
0.000316,54.289,29.34,-0.21294,-1.3161
0.000317,60.486,29.453,-0.16621,-1.325
0.000318,66.256,29.572,-0.10969,-1.3337
0.000319,71.506,29.698,-0.044186,-1.3422
0.00032,76.152,29.832,0.029346,-1.3506
0.000321,80.118,29.975,0.10982,-1.3586
0.000322,83.337,30.126,0.19603,-1.3664
0.000323,85.757,30.287,0.28668,-1.3737
0.000324,87.335,30.458,0.38036,-1.3806
0.000325,88.044,30.639,0.47565,-1.3869
0.000326,87.867,30.831,0.57106,-1.3927
0.000327,86.803,31.032,0.66508,-1.3979
0.000328,84.867,31.243,0.75625,-1.4023
0.000329,82.085,31.464,0.8431,-1.4059
0.00033,78.498,31.693,0.92425,-1.4087
0.000331,74.159,31.93,0.99839,-1.4106
0.000332,69.134,32.174,1.0643,-1.4116
0.000333,63.5,32.425,1.1209,-1.4116
0.000334,57.346,32.68,1.1672,-1.4106
0.000335,50.765,32.94,1.2025,-1.4085
0.000336,43.863,33.202,1.2261,-1.4054
0.000337,36.748,33.466,1.2375,-1.4011
0.000338,29.533,33.729,1.2365,-1.3958
0.000339,22.334,33.992,1.2231,-1.3895
0.00034,15.266,34.251,1.1973,-1.382
0.000341,8.4441,34.507,1.1596,-1.3735
0.000342,1.9787,34.758,1.1103,-1.364
0.000343,-4.0239,35.002,1.0502,-1.3535
0.000344,-9.4643,35.238,0.98016,-1.3421
0.000345,-14.252,35.466,0.90123,-1.3299
0.000346,-18.304,35.684,0.81455,-1.3168
0.000347,-21.553,35.892,0.72145,-1.3029
0.000348,-23.94,36.089,0.62332,-1.2884
0.000349,-25.421,36.274,0.52165,-1.2733
0.00035,-25.966,36.447,0.41802,-1.2576
0.000351,-25.559,36.609,0.31401,-1.2416
0.000352,-24.2,36.759,0.21122,-1.2251
0.000353,-21.904,36.896,0.11127,-1.2083
0.000354,-18.7,37.023,0.015696,-1.1914
0.000355,-14.633,37.138,-0.073995,-1.1742
0.000356,-9.7612,37.243,-0.1564,-1.157
0.000357,-4.1548,37.338,-0.23021,-1.1398
0.000358,2.1023,37.425,-0.29426,-1.1227
0.000359,8.9162,37.504,-0.34754,-1.1057
0.00036,16.183,37.577,-0.38919,-1.0888
0.000361,23.793,37.645,-0.41853,-1.0721
0.000362,31.627,37.708,-0.43509,-1.0556
0.000363,39.565,37.769,-0.4386,-1.0393
0.000364,47.484,37.829,-0.42897,-1.0233
0.000365,55.258,37.889,-0.40635,-1.0076
0.000366,62.765,37.95,-0.37109,-0.99208
0.000367,69.888,38.013,-0.32373,-0.97683
0.000368,76.512,38.081,-0.26501,-0.96179
0.000369,82.532,38.153,-0.19587,-0.94694
0.00037,87.85,38.231,-0.11741,-0.93225
0.000371,92.38,38.316,-0.030877,-0.91766
0.000372,96.047,38.409,0.062332,-0.90314
0.000373,98.792,38.509,0.16071,-0.88863
0.000374,100.57,38.619,0.26268,-0.87408
0.000375,101.34,38.737,0.36656,-0.85943
0.000376,101.09,38.864,0.47065,-0.84463
0.000377,99.83,39,0.57326,-0.82961
0.000378,97.566,39.144,0.67267,-0.81432
0.000379,94.333,39.297,0.76723,-0.7987
0.00038,90.179,39.457,0.85535,-0.7827
0.000381,85.166,39.624,0.93554,-0.76628
0.000382,79.372,39.797,1.0064,-0.74939
0.000383,72.885,39.975,1.0667,-0.732
0.000384,65.805,40.157,1.1154,-0.71408
0.000385,58.245,40.341,1.1516,-0.69562
0.000386,50.322,40.526,1.1745,-0.6766
0.000387,42.162,40.71,1.1837,-0.65701
0.000388,33.895,40.893,1.1789,-0.63687
0.000389,25.652,41.073,1.16,-0.61619
0.00039,17.565,41.248,1.1272,-0.595
0.000391,9.7655,41.417,1.0809,-0.57333
0.000392,2.3793,41.578,1.0216,-0.55124
0.000393,-4.4729,41.731,0.95016,-0.52876
0.000394,-10.678,41.874,0.86761,-0.50597
0.000395,-16.134,42.006,0.77512,-0.48293
0.000396,-20.749,42.125,0.67403,-0.45972
0.000397,-24.443,42.232,0.56584,-0.43641
0.000398,-27.153,42.325,0.45215,-0.4131
0.000399,-28.829,42.405,0.33468,-0.38988
0.0004,-29.437,42.47,0.2152,-0.36683
0.000401,-28.963,42.521,0.095525,-0.34405
0.000402,-27.406,42.558,-0.022506,-0.32163
0.000403,-24.784,42.581,-0.13708,-0.29966
0.000404,-21.132,42.591,-0.24643,-0.27823
0.000405,-16.502,42.588,-0.34886,-0.25743
0.000406,-10.96,42.573,-0.44277,-0.23733
0.000407,-4.5889,42.547,-0.52669,-0.21801
0.000408,2.5168,42.512,-0.5993,-0.19954
0.000409,10.249,42.468,-0.65945,-0.18198
0.00041,18.491,42.417,-0.70619,-0.16537
0.000411,27.114,42.36,-0.73875,-0.14975
0.000412,35.987,42.299,-0.75662,-0.13516
0.000413,44.972,42.236,-0.75948,-0.12162
0.000414,53.927,42.172,-0.74726,-0.10913
0.000415,62.714,42.109,-0.72014,-0.097705
0.000416,71.193,42.048,-0.67851,-0.087321
0.000417,79.23,41.991,-0.62301,-0.077961
0.000418,86.699,41.94,-0.55449,-0.069595
0.000419,93.478,41.895,-0.47402,-0.062182
0.00042,99.46,41.858,-0.38284,-0.055675
0.000421,104.55,41.83,-0.28238,-0.050017
0.000422,108.66,41.812,-0.17423,-0.045146
0.000423,111.72,41.804,-0.060088,-0.040995
0.000424,113.69,41.808,0.058236,-0.03749
0.000425,114.53,41.824,0.17886,-0.034558
0.000426,114.21,41.851,0.29987,-0.03212
0.000427,112.75,41.89,0.41933,-0.0301
0.000428,110.16,41.941,0.53531,-0.02842
0.000429,106.49,42.002,0.64595,-0.027005
0.00043,101.77,42.075,0.74946,-0.025785
0.000431,96.093,42.157,0.84415,-0.024692
0.000432,89.537,42.248,0.92847,-0.023665
0.000433,82.206,42.347,1.001,-0.022651
0.000434,74.213,42.453,1.0606,-0.021601
0.000435,65.684,42.563,1.1063,-0.020479
0.000436,56.753,42.678,1.1371,-0.019255
0.000437,47.561,42.794,1.1527,-0.017909
0.000438,38.253,42.911,1.1526,-0.016433
0.000439,28.979,43.027,1.1368,-0.014828
0.00044,19.886,43.141,1.1055,-0.013105
0.000441,11.121,43.251,1.0591,-0.011285
0.000442,2.8249,43.355,0.99828,-0.0094012
0.000443,-4.8664,43.452,0.92399,-0.0074929
0.000444,-11.827,43.54,0.83733,-0.0056103
0.000445,-17.943,43.62,0.73963,-0.0038109
0.000446,-23.112,43.689,0.63241,-0.0021596
0.000447,-27.247,43.747,0.51733,-0.00072742
0.000448,-30.275,43.792,0.39621,0.00041003
0.000449,-32.143,43.826,0.27096,0.0011733
0.00045,-32.815,43.846,0.14357,0.0014804
0.000451,-32.274,43.854,0.016059,0.0012487
0.000452,-30.521,43.849,-0.10952,0.00039553
0.000453,-27.577,43.832,-0.23114,-0.00116
0.000454,-23.482,43.803,-0.34682,-0.0034957
0.000455,-18.296,43.764,-0.45469,-0.0066847
0.000456,-12.093,43.714,-0.55297,-0.010795
0.000457,-4.9657,43.656,-0.64001,-0.015887
0.000458,2.9779,43.59,-0.71437,-0.022013
0.000459,11.618,43.518,-0.77476,-0.029217
0.00046,20.821,43.441,-0.82013,-0.037533
0.000461,30.446,43.362,-0.84965,-0.046985
0.000462,40.344,43.281,-0.86274,-0.057585
0.000463,50.361,43.201,-0.85908,-0.069333
0.000464,60.341,43.124,-0.83861,-0.082219
0.000465,70.127,43.051,-0.80152,-0.09622
0.000466,79.565,42.984,-0.74829,-0.1113
0.000467,88.505,42.924,-0.67962,-0.12742
0.000468,96.806,42.874,-0.59648,-0.14452
0.000469,104.34,42.834,-0.50008,-0.16253
0.00047,110.97,42.807,-0.39181,-0.18138
0.000471,116.61,42.792,-0.27329,-0.20099
0.000472,121.16,42.792,-0.14628,-0.22126
0.000473,124.54,42.808,-0.012681,-0.2421
0.000474,126.7,42.838,0.12548,-0.2634
0.000475,127.59,42.885,0.26609,-0.28507
0.000476,127.21,42.949,0.40703,-0.307
0.000477,125.56,43.028,0.54612,-0.32907
0.000478,122.65,43.124,0.68124,-0.35119
0.000479,118.53,43.235,0.8103,-0.37326
0.00048,113.26,43.36,0.93131,-0.39516
0.000481,106.93,43.499,1.0424,-0.41682
0.000482,99.621,43.652,1.1418,-0.43815
0.000483,91.457,43.815,1.2281,-0.45905
0.000484,82.563,43.988,1.2998,-0.47948
0.000485,73.079,44.17,1.3559,-0.49936
0.000486,63.153,44.359,1.3955,-0.51865
0.000487,52.942,44.553,1.4179,-0.53731
0.000488,42.608,44.749,1.4229,-0.55532
0.000489,32.316,44.948,1.4104,-0.57265
0.00049,22.231,45.145,1.3805,-0.5893
0.000491,12.513,45.341,1.3337,-0.6053
0.000492,3.3209,45.533,1.2709,-0.62064
0.000493,-5.1979,45.719,1.193,-0.63538
0.000494,-12.904,45.898,1.1012,-0.64954
0.000495,-19.671,46.069,0.99712,-0.66318
0.000496,-25.386,46.23,0.88235,-0.67636
0.000497,-29.954,46.38,0.75876,-0.68914
0.000498,-33.296,46.519,0.62834,-0.7016
0.000499,-35.354,46.646,0.49322,-0.71382
0.0005,-36.088,46.76,0.35558,-0.72587
0.000501,-35.48,46.862,0.21769,-0.73783
0.000502,-33.534,46.951,0.081788,-0.7498
0.000503,-30.272,47.029,-0.049884,-0.76184
0.000504,-25.741,47.094,-0.17515,-0.77404
0.000505,-20.006,47.149,-0.29193,-0.78648
0.000506,-13.151,47.193,-0.39827,-0.79921
0.000507,-5.2787,47.229,-0.49238,-0.81229
0.000508,3.4911,47.258,-0.57263,-0.82579
0.000509,13.025,47.28,-0.63765,-0.83975
0.00051,23.176,47.299,-0.68626,-0.85419
0.000511,33.789,47.315,-0.71757,-0.86915
0.000512,44.697,47.33,-0.73094,-0.88462
0.000513,55.732,47.346,-0.72603,-0.90061
0.000514,66.721,47.365,-0.70277,-0.9171
0.000515,77.492,47.389,-0.6614,-0.93408
0.000516,87.874,47.42,-0.60243,-0.95149
0.000517,97.704,47.46,-0.52667,-0.96929
0.000518,106.83,47.509,-0.43518,-0.98742
0.000519,115.09,47.571,-0.32928,-1.0058
0.00052,122.38,47.645,-0.21055,-1.0244
0.000521,128.56,47.734,-0.08073,-1.043
0.000522,133.53,47.838,0.058212,-1.0616
0.000523,137.22,47.958,0.20418,-1.0802
0.000524,139.57,48.095,0.35494,-1.0985
0.000525,140.53,48.249,0.5082,-1.1164
0.000526,140.08,48.42,0.66158,-1.134
0.000527,138.23,48.608,0.81273,-1.1509
0.000528,135.01,48.812,0.95929,-1.1672
0.000529,130.46,49.033,1.099,-1.1828
0.00053,124.64,49.268,1.2296,-1.1974
0.000531,117.66,49.518,1.3492,-1.2112
0.000532,109.61,49.78,1.4557,-1.2238
0.000533,100.63,50.053,1.5476,-1.2353
0.000534,90.849,50.336,1.6233,-1.2457
0.000535,80.423,50.626,1.6817,-1.2548
0.000536,69.517,50.923,1.7218,-1.2626
0.000537,58.303,51.223,1.743,-1.269
0.000538,46.959,51.524,1.7448,-1.2742
0.000539,35.666,51.826,1.7272,-1.2779
0.00054,24.603,52.125,1.6905,-1.2804
0.000541,13.948,52.419,1.6351,-1.2815
0.000542,3.8725,52.707,1.562,-1.2814
0.000543,-5.4608,52.987,1.4723,-1.28
0.000544,-13.9,53.257,1.3672,-1.2775
0.000545,-21.308,53.516,1.2485,-1.2739
0.000546,-27.561,53.761,1.118,-1.2693
0.000547,-32.555,53.993,0.97778,-1.2637
0.000548,-36.207,54.209,0.82996,-1.2573
0.000549,-38.45,54.41,0.67691,-1.2502
0.00055,-39.245,54.595,0.52102,-1.2425
0.000551,-38.572,54.763,0.36476,-1.2342
