"time","voltageSource.v","resistor.v","inductor.v","capacitor.v","der(capacitor.v)","inductor.i","der(voltageSource.i)"
0,10,0.002469228271926305,-0.004936019513227308,10.0024667912413,49.38456543852609,0.0002469228271926305,4.936019513227308
0.0001,9.995065603657316,-0.00246706536636365,-0.004936201951084129,10.00246887097476,-49.34130732727299,-0.000246706536636365,4.936201951084129
0.0002,9.980267284282716,-0.007401115647743367,-0.004933089678486269,9.992601489608946,-148.0223129548673,-0.0007401115647743367,4.933089678486269
0.0003,9.955619646030801,-0.01232895809757655,-0.004925371482327634,9.972873975610705,-246.5791619515309,-0.001232895809757655,4.925371482327634
0.0004,9.921147013144779,-0.01724550609092432,-0.004911946144073198,9.943304465379777,-344.9101218184864,-0.001724550609092432,4.911946144073198
0.0005,9.876883405951379,-0.0221452196216155,-0.004892873136830289,9.903921498709824,-442.9043924323099,-0.00221452196216155,4.892873136830289
0.0006,9.822872507286887,-0.02702185070679894,-0.004863441118532208,9.854757799112217,-540.4370141359788,-0.002702185070679894,4.863441118532208
0.0007,9.759167619387474,-0.03186961508967581,-0.004829705920007754,9.795866940397158,-637.3923017935161,-0.003186961508967581,4.829705920007754
0.0008,9.685831611286311,-0.03668449029290231,-0.004795581202188259,9.727311682781401,-733.6898058580462,-0.003668449029290231,4.795581202188259
0.0009,9.60293685676943,-0.04146355807018684,-0.004759965545209965,9.649160380384828,-829.2711614037366,-0.004146355807018684,4.759965545209965
0.001,9.510565162951535,-0.04620396808590545,-0.004719632383705985,9.561488763421146,-924.0793617181089,-0.004620396808590545,4.719632383705985
0.0011,9.408807689542254,-0.05090017660578135,-0.004671458493190173,9.464379324641225,-1018.003532115627,-0.005090017660578135,4.671458493190173
0.0012,9.297764858882514,-0.05554523675189092,-0.004616131581135718,9.357926227215541,-1110.904735037818,-0.005554523675189093,4.616131581135718
0.0013,9.177546256839811,-0.06013379055825808,-0.004557531942463555,9.242237579340532,-1202.675811165161,-0.006013379055825808,4.557531942463555
0.0014,9.048270524660195,-0.06466173683327295,-0.004497937644003969,9.117430199137472,-1293.234736665459,-0.006466173683327294,4.497937644003969
0.0015,8.910065241883679,-0.06912761797565498,-0.004435224999836507,8.98362808485917,-1382.552359513099,-0.006912761797565498,4.435224999836507
