"time","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","piLine1.v[1]","piLine1.v[2]","piLine1.v[3]"
0.001,-13.17423000233023,10.45856028781327,2.715669714517012,-1404.404935748425,-2882.109059581563,4286.51399532726,85418.78332064298,-18673.51031563627,-66745.27300500663,85235.07601025158,-18950.53477832778,-66284.541231924,183.7073103914008,277.0244626915046,-460.7317730826326
0.0011,-13.30814671160404,10.16523612178003,3.142910589823798,-1273.708979023052,-2983.891705569898,4257.600684593661,84504.85240029525,-15904.79935059548,-68600.05304969967,84334.6149467778,-16193.37401978704,-68141.24092699059,170.2374535174458,288.5746691915574,-458.8121227090742
0.0012,-13.42892989399416,9.86188010259503,3.567049791399011,-1141.755977769686,-3082.729658413133,4224.485636185675,83507.52539302289,-13120.39226880534,-70387.13312421746,83350.92580494689,-13420.23236090999,-69930.69344403653,156.599588076002,299.8400921046468,-456.4396801809344
0.0013,-13.53646034313675,9.548791599121769,3.987668744015084,-1008.676108534015,-3178.52542164929,4187.201530183343,82427.78654017333,-10323.03694389007,-72104.74959628319,82284.97937169355,-10633.84656217533,-71651.13280951815,142.807168479776,310.8096182852569,-453.6167867650365
0.0014,-13.63063193440085,9.226279585469017,4.40435234893192,-874.6008107365842,-3271.18434628473,4145.785157019295,81266.70141363588,-7515.494027826493,-73751.20738580932,81137.82759688875,-7836.96643894814,-73300.86115794074,128.8738167471311,321.4724111216474,-450.3462278685765
0.0015,-13.71135173648165,8.894662345454286,4.816689391027283,-739.6624629035248,-3360.614932388252,4100.277395291339,80025.41586425097,-4700.534226514081,-75324.88163773681,79910.60257459727,-5032.352168562591,-74878.25040603464,114.813289653699,331.8179420485103,-446.6312317021657
0.0016,-13.77854009408217,8.554267151642591,5.22427294243945,-603.9941681865018,-3446.728991022681,4050.723159210393,78705.15489099357,-1880.935565422454,-76824.21932557102,78604.51543422176,-2222.771573523409,-76381.74386069813,100.6394567718089,341.836008100955,-442.4754648728849
0.0017,-13.83213069839886,8.205429932433706,5.626700765965223,-467.7297499411854,-3529.441593876327,3997.171343818289,77307.22143204726,940.5193519841422,-78247.74078403132,77220.85513257125,589.00262374008,-77809.85775631118,86.36629947600886,351.5167282440622,-437.8830277201487
0.0018,-13.87207065646539,7.848494940835434,6.02357571563001,-331.0037128254874,-3608.671094664109,3939.674807488697,75832.99507896147,3761.046090340587,-79594.041169302,75760.98717249956,3400.195543457617,-79161.18271595721,72.0079064619058,360.8505468829708,-432.8584533447865
0.0019,-13.89832055325223,7.483814429525701,6.414506123726474,-193.9510527895781,-3684.33923186887,3878.290284657802,74283.9307151612,6577.861130282505,-80861.79184544363,74226.35226104539,6208.032884773519,-80434.3851458189,57.57845411580638,369.8282455089857,-427.4066996247275
0.002,-13.9108544874954,7.111748299316429,6.799106188178812,-56.70701255802607,-3756.371345934301,3813.078358493055,72661.55708015271,9388.18461544359,-82049.74169559623,72618.46489875784,9009.743649650436,-81628.20854840813,43.0921813948662,378.4409657931537,-421.5331471880927
0.0021,-13.90966008995484,6.732663734081436,7.17699635587346,80.5930042818772,-3824.696383311401,3744.103379029579,70967.4752608422,12189.24309583852,-83156.71835668063,70938.91188031195,11802.56288447301,-82741.47476478487,28.56338053024956,386.6802113655085,-415.2435918957635
0.0022,-13.89473853634882,6.346934841428501,7.547803694920385,217.8135185919067,-3889.246950035821,3671.433431445788,69203.35711145635,14978.27226492301,-84181.62937637929,69189.35072370237,14583.73441037759,-83773.08513407971,14.00638775397965,394.5378545454168,-408.5442422995839
0.0023,-13.86610455233381,5.95494229061198,7.911162261721608,354.8190721775367,-3949.959290256279,3595.140218075578,67370.94360362408,17752.51968763072,-85123.46329125474,67371.50803075227,17350.51355206659,-84722.02158281911,-0.5644271281926194,402.0061355641337,-401.4417084356246
0.0024,-13.82378639601386,5.557072927643813,8.26671346837,491.4744324208106,-4006.773466651038,3515.299034231065,65472.04310824761,20509.24751669444,-85981.29062494198,65487.177790261,20100.16983472151,-85587.34762498236,-15.13468201339856,409.0776819729326,-393.9429999596177
0.0025,-13.76782583333192,5.153719407533091,8.614106425798342,627.6447805357807,-4059.633473157035,3431.988692626785,63508.52961085885,23245.73519457064,-86754.26480542943,63538.21961303346,22829.9896732947,-86368.20928632753,-29.69000217460416,415.7455212759451,-386.0555191018939
0.0026,-13.69827808956822,4.745279788820818,8.952998300747698,763.1957036334118,-4108.487049078401,3345.29134544277,61482.34086222186,25959.28213830142,-87441.62300052322,61526.55688257046,25537.27907460562,-87063.83595717624,-44.21602034859825,422.0030636957999,-377.7870433469798
0.0027,-13.61521179778894,4.332157150442271,9.283054647347328,897.9934635554193,-4153.286077350989,3255.29261379135,59395.47646600685,28647.21040466382,-88042.6868706706,59454.1748705399,28219.36626131841,-87673.54113185867,-58.69840453305369,427.8441433454063,-369.1457388119306
0.0028,-13.51870893611353,3.914759198976418,9.603949737136453,1031.905036805897,-4193.98638880907,3162.081351999791,57249.99590542266,31306.86733297643,-88556.86323839902,57323.11876834771,30873.60433298565,-88196.72310133363,-73.12286292505451,433.262999990784,-360.1401370653912
