"time","busBar1.v[1]","busBar1.v[2]","busBar1.v[3]","busBar2.v[1]","busBar2.v[2]","busBar2.v[3]","RXLoad1.i_l[1]","RXLoad1.i_l[2]","RXLoad1.i_l[3]","der(RXLoad1.i_l[1])","der(RXLoad1.i_l[2])","der(RXLoad1.i_l[3])","RXLoad1.i[3]","RXLoad1.i[2]","RXLoad1.i[1]","slack.i[1]","slack.i[2]","slack.i[3]","der(slack.i[1])","der(slack.i[2])","der(slack.i[3])"
0,89814.62390204988,-44907.31195102489,-44907.3119510249,89565.03893333336,-44614.15200000002,-44950.88693333335,0.024101,-9.62762,9.603519,3488.142995844345,-1737.5143657356,-1750.628630108745,4.031095,-15.1583,11.127205,-11.127205,15.1583,-4.031095,-3510.388202747803,-1298.964047591981,4809.352250327506
0.0001,89770.3058068797,-42441.96922134005,-47328.33658553956,89514.95889787955,-42152.58894113204,-47362.36995674508,0.3728436676658829,-9.796590276853287,9.423746609187406,3486.192610660793,-1641.647897693191,-1844.544712967507,3.552378432731405,-15.02211783153908,11.46973939880797,-11.46973939880797,15.02211783153908,-3.552378432731405,-3369.049287356502,-1436.055290216032,4805.10457787747
0.0002,89637.39525797848,-39934.74139211475,-49702.65386586361,89376.30940306811,-39649.51762029126,-49726.79178277653,0.7212180836070754,-9.955892425537632,9.234674341930566,3480.792855689839,-1544.164875301067,-1936.62798038876,3.07019602175166,-14.87112188259853,11.80092586084692,-11.80092586084692,14.87112188259853,-3.07019602175166,-3254.188592675473,-1583.604915303775,4837.793508004871
0.0003,89416.02342201152,-37388.10279451524,-52027.92062749623,89149.45647261642,-37107.31672672546,-52042.13974588892,1.06888530020467,-10.1053713370883,9.036486036883643,3471.957985858199,-1445.157937476574,-2026.800048381545,2.584981109707333,-14.705451923046,12.12047081333893,-12.12047081333893,14.705451923046,-2.584981109707333,-3136.079694412536,-1729.55978448162,4865.639479152706
0.0004,89106.40876625439,-34804.56665337787,-54301.84211287643,88834.62328520161,-34528.49567943464,-54306.12760576809,1.415497246943727,-10.24487788525166,8.829380638307942,3459.696692940571,-1344.724814454778,-2114.971878485837,2.097216059080495,-14.52526991162785,12.42805385254723,-12.42805385254723,14.52526991162785,-2.097216059080495,-3014.942851081144,-1873.846334965081,4888.789185889102
0.0005,88708.85684299204,-32186.68260695987,-56522.17423603208,88432.1214639751,-31915.59891555382,-56516.52254842083,1.760711918845651,-10.37427424130009,8.613562322454447,3444.021113213855,-1242.964600264738,-2201.0565129491,1.607381841245255,-14.33075344570758,12.7233716044624,-12.7233716044624,14.33075344570758,-1.607381841245255,-2890.777623081666,-2016.250474362523,4907.028097490173
0.0006,88223.75998797575,-29537.03419075409,-58686.72579722154,87942.34577943537,-29271.20466927112,-58671.14111016373,2.1041887931457,-10.49343243528783,8.389243642142139,3424.946621158605,-1139.977705174033,-2284.968915984551,1.115961686336721,-14.12209417114788,13.00613248481124,-13.00613248481124,14.12209417114788,-1.115961686336721,-2764.024993729342,-2156.581579728388,4920.606573512247
0.0007,87651.59693323495,-26858.23628785138,-60793.36064538347,87365.78394851793,-26597.92430893834,-60767.85963958001,2.445589063931256,-10.60223496310604,8.156645899174793,3402.492211088143,-1035.86582987229,-2366.62638121587,0.6234401587309912,-13.8994983071893,13.27605814845827,-13.27605814845827,13.8994983071893,-0.6234401587309912,-2634.241245083246,-2294.918793981157,4929.16003899677
0.0008,86992.93233462657,-24152.93254836676,-62839.99978625973,86703.00121149377,-23898.39422169032,-62804.60698980268,2.784575824550661,-10.70057414966158,7.915998325110936,3376.679896490277,-930.7316494147318,-2445.948247075515,0.1303032437304408,-13.66318500359013,13.5328817598598,-13.5328817598598,13.66318500359013,-0.1303032437304408,-2502.043310229504,-2430.8882435779,4932.931553897889
0.0009,86248.41621458794,-21423.79278047576,-64824.62343411212,85954.65479064231,-21175.28029915653,-64779.37449148577,3.120814490960085,-10.7883524390127,7.667537948052632,3347.53527312556,-824.6789879198532,-2522.856285205707,-0.3629630219662636,-13.41338718684202,13.7763502088083,-13.7763502088083,13.41338718684202,0.3629630219662636,-2367.153685546388,-2564.58625127788,4931.739936816747
0.001,85418.78332064298,-18673.51031563627,-66745.27300500663,85121.48135423519,-18431.26861656842,-66690.21273766752,3.453973248450241,-10.86548342816518,7.41151017971495,3315.087030807592,-717.8124555638607,-2597.27457524376,-0.8558715646239961,-13.15035143848358,14.00622300310749,-14.00622300310749,13.15035143848358,0.8558715646239961,-2229.947427373841,-2695.711042999527,4925.658470266906
0.0011,84504.85240029525,-15904.79935059548,-68600.05304969967,84204.30270246175,-15669.06685810124,-68535.23584436152,3.783723195799297,-10.93189131542546,7.14816811962618,3279.367174843449,-610.2375040911342,-2669.129670752355,-1.347935497443428,-12.87433762014876,14.22227311759207,-14.22227311759207,12.87433762014876,1.347935497443428,-2090.617681027152,-2824.091864197563,4914.709545078728
0.0012,83507.52539302289,-13120.39226880534,-70387.13312421746,83204.02389787401,-12891.40070848256,-70312.62318939336,4.109738826414836,-10.98751087347591,6.877772047061095,3240.410953223188,-502.060286284104,-2738.350666939158,-1.838668844186013,-12.58561839932086,14.42428724350665,-14.42428724350665,12.58561839932086,1.838668844186013,-1949.312841482032,-2949.567042962947,4898.879884185127
0.0013,82427.78654017333,-10323.03694389007,-72104.74959628319,82121.63355563029,-10101.01485012881,-72020.61870550086,4.431698451514066,-11.03228719117672,6.600588739662676,3198.256867923485,-393.3876947970998,-2804.86917312636,-2.327587132920072,-12.28447911474641,14.61206624766658,-14.61206624766658,12.28447911474641,2.327587132920072,-1805.982130836839,-3072.463144887737,4878.445275796846
0.0014,81266.70141363588,-7515.494027826493,-73751.20738580932,80958.19786932312,-7300.657159662619,-73657.5407096616,4.749284467490996,-11.06617594699922,6.316891479508241,3152.946442241334,-284.3267466839728,-2868.619695557404,-2.814208608466334,-11.97121609075905,14.78542469922526,-14.78542469922526,11.97121609075905,2.814208608466334,-1661.026285683682,-3191.891064521721,4852.917350054784
0.0015,80025.41586425097,-4700.534226514081,-75324.88163773681,79714.86681747236,-4493.09597810795,-75221.77083936623,5.062183477460894,-11.08914351561893,6.02696003815805,3104.52446250818,-174.9852559921212,-2929.53920651613,-3.298052875812969,-11.64613888480586,14.94419176061862,-14.94419176061862,11.64613888480586,3.298052875812969,-1514.353014837929,-3308.347520562636,4822.700535151953
0.0016,78705.15489099357,-1880.935565422454,-76824.21932557102,78392.86945956208,-1681.107797325449,-76711.76166223011,5.370086741560455,-11.10116718753626,5.731080445975815,3053.038794892361,-65.4713542062415,-2987.567440685866,-3.778642074135354,-11.30956898059313,15.0882110547293,-15.0882110547293,11.30956898059313,3.778642074135354,-1365.841202532656,-3422.468109800519,4788.309313168254
0.0017,77307.22143204726,940.5193519841422,-78247.74078403132,76993.50032614161,1132.560432068067,-78126.06075822366,5.67269037907447,-11.10223525316129,5.429544874086834,2998.53985535665,44.10797768344859,-3042.647833040643,-4.25550398023841,-10.96183519959913,15.21733917983582,-15.21733917983582,10.96183519959913,4.25550398023841,-1216.954632153111,-3530.478193361399,4747.432823686264
0.0018,75832.99507896147,3761.046090340587,-79594.041169302,75518.15936052526,3945.078759295057,-79463.23811980992,5.969695752747017,-11.09234678364806,5.122651030901056,2941.082165202265,153.6425262153035,-3094.724691417163,-4.728163612050583,-10.60328743332222,15.33145104537411,-15.33145104537411,10.60328743332222,4.728163612050583,-1065.376060598578,-3639.194928951969,4704.570990896436
0.0019,74283.9307151612,6577.861130282505,-80861.79184544363,73968.29227841925,6753.700559005673,-80721.99283738645,6.260809765792719,-11.07151159004067,4.810701824247964,2880.722028352865,263.0253230667458,-3143.747351418113,-5.196156791956965,-10.23427598355236,15.43043277551411,-15.43043277551411,10.23427598355236,5.196156791956965,-912.5912840395936,-3744.738322588368,4657.329611624421
0.002,72661.55708015271,9388.18461544359,-82049.74169559623,72345.40957185844,9555.707646435281,-81901.11721829808,6.545745225215261,-11.03975016586182,4.494004940646584,2817.518271469774,372.1505075441266,-3189.66877901407,-5.65902611947301,-9.855158308865715,15.51418442833821,-15.51418442833821,9.855158308865715,5.65902611947301,-761.2286354498614,-3840.030388072129,4601.259022945885
0.0021,70967.4752608422,12189.24309583852,-83156.71835668063,70651.13879807171,12348.26122790217,-82999.40002598734,6.824220853870165,-10.99709380027129,4.172872946401148,2751.534280360845,480.9075217956834,-3232.441802157052,-6.116308875002239,-9.466317614994166,15.58262648999476,-15.58262648999476,9.466317614994166,6.116308875002239,-608.058240095787,-3934.548844525737,4542.607082859196
0.0022,69203.35711145635,14978.27226492301,-84181.62937637929,68887.1420319163,15128.63297295871,-84015.77500490203,7.095961701341706,-10.94358456411669,3.847622862775004,2682.834785135514,589.1901100004553,-3272.024895137022,-6.567555856840946,-9.068134195568092,15.63569005240571,-15.63569005240571,9.068134195568092,6.567555856840946,-454.5285449770365,-4024.610729657842,4479.139271111324
0.0023,67370.94360362408,17752.51968763072,-85123.46329125474,67055.16875028303,17894.05579133102,-84949.22454162866,7.360699493687201,-10.87927526633332,3.518575772646137,2611.487919807186,696.8905068219595,-3308.378426629714,-7.012319831687992,-8.661003887242698,15.6733237189289,-15.6733237189289,8.661003887242698,7.012319831687992,-299.6688590991365,-4113.146284913428,4412.815142103219
0.0024,65472.04310824761,20509.24751669444,-85981.29062494198,65157.02594714798,20641.80386939149,-85798.82981652184,7.61817295916359,-10.80422941993388,3.186056460770305,2537.564058413052,803.9025544577063,-3341.466612870072,-7.450162111525787,-8.24532811381097,15.69549022533896,-15.69549022533896,8.24532811381097,7.450162111525787,-143.7546833467478,-4199.635568430469,4343.390254061652
0.0025,63508.52961085885,23245.73519457064,-86754.26480542943,63194.55536230491,23369.25102037438,-86563.806382725,7.868128170535742,-10.71852111446768,2.85039294393196,2461.134928178808,910.1239751095527,-3371.258903290141,-7.880657434091798,-7.821506525165075,15.70216395925122,-15.70216395925122,7.821506525165075,7.880657434091798,8.961410060649513,-4272.865200089077,4263.903784070655
0.0026,61482.34086222186,25959.28213830142,-87441.62300052322,61169.74290291803,26073.57305461456,-87243.31595755892,8.110318653488788,-10.62223486935643,2.51191621586765,2382.277870980789,1015.444779684469,-3397.722650666283,-8.303370886309073,-7.389973746883546,15.69334463318937,-15.69334463318937,7.389973746883546,8.303370886309073,164.7302364273807,-4350.009983768879,4185.279743907174
0.0027,59395.47646600685,28647.21040466382,-88042.6868706706,59084.56895005414,28752.14771971285,-87836.7166697511,8.344505389999112,-10.51546569703958,2.170960307040477,2301.070013479458,1119.76284360965,-3420.832857088489,-8.717888866895608,-6.951149864017322,15.66903873091491,-15.66903873091491,6.951149864017322,8.717888866895608,321.0731923245104,-4424.930945887705,4103.857755623679
0.0028,57249.99590542266,31306.86733297643,-88556.86323839902,56941.07710891304,31402.38172547809,-88343.4588343746,8.570458220880889,-10.3983204206781,1.827862199797221,2217.590944622121,1222.977170256004,-3440.568114877481,-9.123806250745082,-6.505463181982469,15.62926943272961,-15.62926943272961,6.505463181982469,9.123806250745082,475.9892126601386,-4491.032769380343,4015.043558862596
