"time","capacitor.v1","capacitor.v2","capacitor.i","inductor.i"
0,8.8625395,-0.7624325000000005,1.1374605,1.899893
0.0001,8.95314351810411,-0.7808043159356615,1.041922085553207,1.822726401488868
0.0002,9.034909366691378,-0.7984054917961725,0.9453579175913376,1.74376340938751
0.0003,9.107760105001445,-0.8152193281948616,0.8478595410293561,1.663078869224218
0.0004,9.171626687063151,-0.8312291325112349,0.7495203260816279,1.580749458592863
0.0005,9.226442380868384,-0.8464182157375628,0.6504410250829942,1.496859240820557
0.0006,9.272151304900447,-0.8607714607203807,0.5507212023864394,1.41149266310682
0.0007,9.308709557350952,-0.8742753466929523,0.4504580620365228,1.324733408729475
0.0008,9.336081997399077,-0.8869168563264511,0.3497496138872336,1.236666470213685
0.0009,9.354241030843793,-0.898683065519035,0.2486958259256369,1.147378891444672
0.001,9.363169042073755,-0.9095625462946442,0.1473961208777794,1.056958667172424
0.0011,9.362856367497054,-0.9195441394041591,0.04595132204519992,0.965495461449359
0.0012,9.35330331271992,-0.928618027907794,-0.05553845383740708,0.8730795740703869
0.0013,9.334519580203377,-0.9367754162539612,-0.156973323363566,0.7798020928903953
0.0014,9.306523640780132,-0.9440082310348457,-0.2582531161199366,0.685755114914909
0.0015,9.26934323841526,-0.9503092702955006,-0.3592779965315813,0.5910312737639193
0.0016,9.223015122145849,-0.9556723298101223,-0.4599483217072127,0.4957240081029096
0.0017,9.167585043317978,-0.9600921432268439,-0.5601647732785402,0.3999273699483037
0.0018,9.103107692140487,-0.9635644516494959,-0.6598284371203356,0.3037360145291603
0.0019,9.029646623465084,-0.9660860068467723,-0.7588408807194646,0.2072451261273076
0.002,8.94727445437173,-0.9676538719074262,-0.8571045106222552,0.110549361285171
0.0021,8.856072310581009,-0.9682669006828089,-0.9545221868241063,0.01374471385870256
0.0022,8.756130275781604,-0.9679242458712428,-1.050997848023713,-0.08307360215247039
0.0023,8.647546856127793,-0.9666267323212949,-1.146436159823198,-0.1798094275019029
0.0024,8.530429308107511,-0.9643751314119562,-1.240743033893395,-0.2763679024814387
0.0025,8.404893210288432,-0.9611720422839841,-1.333825398422956,-0.3726533561389719
0.0026,8.271062459444245,-0.9570203251499936,-1.425591400157359,-0.468571075007365
0.0027,8.129069185913483,-0.9519243226094708,-1.515950532676965,-0.5640262100674941
0.0028,7.979053418277556,-0.9458885794346826,-1.60481352079066,-0.6589249413559769
0.0029,7.821163237266688,-0.9389192291141896,-1.692092700736923,-0.7531734716227337
0.003,7.655554489939359,-0.9310232015626893,-1.777701967014629,-0.8466787654519395
0.0031,7.482390643068776,-0.9222084873641982,-1.86155686454747,-0.939348377183272
0.0032,7.301842476189679,-0.9124834484582485,-1.943574526399714,-1.031091077941465
