time,v1,v2,v3,i1,i2,i3
0.014203,-7632.2,19124,-11492,-3975.1,9960.5,-5985.4
0.014376,-8777.6,19229,-10452,-4571.7,10015,-5443.5
0.01455,-9885,19251,-9365.9,-5148.5,10027,-4878.1
0.014723,-10950,19190,-8239.8,-5703,9994.5,-4291.6
0.014896,-11967,19045,-7078,-6232.8,9919.3,-3686.5
0.015069,-12933,18818,-5885.7,-6735.7,9801.2,-3065.5
0.015242,-13842,18510,-4667.8,-7209.4,9640.6,-2431.2
0.015416,-14692,18122,-3429.8,-7652,9438.4,-1786.4
0.015589,-15478,17655,-2177,-8061.4,9195.3,-1133.8
0.015762,-16197,17112,-914.71,-8436,8912.4,-476.41
0.015935,-16846,16495,351.51,-8774.1,8591,183.08
0.016109,-17422,15806,1616.2,-9074.2,8232.4,841.77
0.016282,-17923,15049,2873.9,-9335,7838.2,1496.8
0.016455,-18347,14227,4119.1,-9555.5,7410.1,2145.4
0.016628,-18690,13344,5346.6,-9734.6,6949.9,2784.7
0.016801,-18953,12403,6550.9,-9871.6,6459.7,3411.9
0.016975,-19135,11408,7726.8,-9965.9,5941.5,4024.4
0.017148,-19233,10363,8869.3,-10017,5397.6,4619.4
0.017321,-19248,9274.4,9973.5,-10025,4830.4,5194.5
0.017494,-19180,8145.1,11034,-9989.4,4242.3,5747.1
0.017667,-19028,6980.7,12048,-9910.6,3635.8,6274.9
0.017841,-18795,5786,13009,-9789,3013.6,6775.4
0.018014,-18480,4566.3,13914,-9625,2378.3,7246.7
0.018187,-18085,3326.9,14758,-9419.4,1732.8,7686.6
0.01836,-17612,2073.1,15539,-9173,1079.7,8093.3
0.018533,-17063,810.25,16253,-8886.9,422,8464.9
0.018707,-16440,-456.07,16896,-8562.4,-237.54,8799.9
0.01888,-15746,-1720.4,17466,-8200.8,-896.05,9096.9
0.019053,-14983,-2977.3,17961,-7803.8,-1550.7,9354.4
0.019226,-14156,-4221.3,18377,-7372.9,-2198.6,9571.6
0.0194,-13268,-5447.1,18715,-6910.2,-2837,9747.2
0.019573,-12322,-6649.3,18971,-6417.6,-3463.2,9880.8
0.019746,-11323,-7822.7,19145,-5897.2,-4074.3,9971.5
0.019919,-10274,-8962.3,19237,-5351.3,-4667.8,10019
0.020092,-9181.8,-10063,19245,-4782.2,-5241.2,10023
0.020266,-8049.5,-11120,19170,-4192.4,-5791.8,9984.3
0.020439,-6882.3,-12129,19012,-3584.5,-6317.4,9902
0.020612,-5685.3,-13086,18771,-2961.1,-6815.7,9776.8
0.020785,-4463.8,-13986,18450,-2324.9,-7284.5,9609.3
0.020958,-3222.9,-14826,18049,-1678.6,-7721.7,9400.3
0.021132,-1968,-15601,17569,-1025,-8125.5,9150.6
0.021305,-704.68,-16309,17014,-367.02,-8494.2,8861.2
0.021478,561.73,-16946,16384,292.57,-8826.1,8533.6
0.021651,1825.7,-17510,15684,950.9,-9119.9,8169
0.021824,3081.8,-17998,14917,1605.1,-9374.1,7769
0.021998,4324.6,-18409,14084,2252.4,-9587.8,7335.5
0.022171,5548.6,-18739,13191,2889.9,-9760.1,6870.1
0.022344,6748.7,-18989,12240,3514.9,-9890,6375.1
0.022517,7919.5,-19156,11237,4124.8,-9977.2,5852.5
0.022691,9056.1,-19241,10185,4716.7,-10021,5304.5
0.022864,10154,-19242,9088.5,5288.3,-10022,4733.6
0.023037,11207,-19160,7953,5837,-9979.2,4142.2
0.02321,12212,-18995,6783.1,6360.4,-9893.2,3532.8
0.023383,13164,-18748,5583.8,6856.3,-9764.5,2908.2
0.023557,14059,-18420,4360.3,7322.6,-9593.5,2271
0.02373,14894,-18012,3118,7757.1,-9381.1,1623.9
0.023903,15664,-17526,1862.1,8158.1,-9128,969.86
0.024076,16366,-16964,598.23,8523.8,-8835.4,311.58
0.024249,16997,-16329,-668.27,8852.6,-8504.5,-348.06
0.024423,17555,-15623,-1931.9,9143.1,-8136.9,-1006.2
0.024596,18036,-14849,-3187.2,9394,-7734,-1660
0.024769,18440,-14012,-4428.6,9604.3,-7297.7,-2306.6
0.024942,18764,-13113,-5651,9773,-6829.8,-2943.2
0.025115,19007,-12158,-6848.9,9899.4,-6332.3,-3567.1
0.025289,19167,-11150,-8017.1,9983,-5807.4,-4175.6
0.025462,19245,-10094,-9150.7,10023,-5257.4,-4766
0.025635,19239,-8994.4,-10245,10020,-4684.6,-5335.8
0.025808,19150,-7855.8,-11294,9974,-4091.6,-5882.4
0.025982,18978,-6683.1,-12295,9884.5,-3480.8,-6403.7
0.026155,18724,-5481.5,-13243,9752.2,-2854.9,-6897.2
0.026328,18389,-4256.1,-14133,9577.6,-2216.7,-7360.9
0.026501,17974,-3012.4,-14962,9361.7,-1568.9,-7792.7
0.026674,17482,-1755.5,-15726,9105.2,-914.34,-8190.8
0.026848,16914,-491.09,-16423,8809.3,-255.78,-8553.5
0.027021,16273,775.48,-17048,8475.3,403.9,-8879.2
0.027194,15561,2038.7,-17599,8104.6,1061.8,-9166.4
0.027367,14782,3293.1,-18075,7698.8,1715.2,-9414
0.02754,13939,4533.3,-18472,7259.7,2361.1,-9620.8
0.027714,13035,5753.9,-18789,6789.1,2996.8,-9786
0.027887,12075,6949.6,-19025,6289.2,3619.6,-9908.8
0.02806,11063,8115.2,-19178,5762.1,4226.7,-9988.7
0.028233,10003,9245.7,-19249,5210,4815.5,-10025
0.028406,8899.9,10336,-19236,4635.3,5383.4,-10019
0.02858,7758,11382,-19140,4040.6,5928.1,-9968.8
0.028753,6582.6,12379,-18961,3428.4,6447.2,-9875.6
0.028926,5378.7,13322,-18700,2801.4,6938.3,-9739.7
0.029099,4151.4,14207,-18358,2162.2,7399.4,-9561.6
0.029273,2906.2,15031,-17937,1513.7,7828.5,-9342.1
0.029446,1648.4,15789,-17438,858.55,8223.7,-9082.3
0.029619,383.47,16480,-16863,199.73,8583.3,-8783
0.029792,-883.15,17099,-16216,-459.97,8905.8,-8445.8
0.029965,-2146,17644,-15498,-1117.7,9189.7,-8072.1
0.030139,-3399.5,18113,-14714,-1770.6,9433.9,-7663.3
0.030312,-4638.4,18504,-13865,-2415.8,9637.3,-7221.4
0.030485,-5857.2,18814,-12957,-3050.6,9798.9,-6748.3
0.030658,-7050.6,19043,-11992,-3672.2,9918.1,-6245.9
0.030831,-8213.6,19189,-10976,-4277.9,9994.4,-5716.5
0.031005,-9341,19253,-9911.8,-4865.1,10027,-5162.4
0.031178,-10428,19233,-8804.9,-5431.2,10017,-4585.9
0.031351,-11470,19130,-7659.9,-5973.9,9963.4,-3989.5
0.031524,-12462,18944,-6481.7,-6490.7,9866.6,-3375.9
0.031697,-13400,18676,-5275.5,-6979.4,9727.1,-2747.6
0.031871,-14281,18327,-4046.4,-7437.9,9545.4,-2107.5
0.032044,-15099,17899,-2799.8,-7864.3,9322.5,-1458.2
0.032217,-15853,17394,-1541,-8256.6,9059.2,-802.61
0.03239,-16537,16813,-275.56,-8613.1,8756.6,-143.52
0.032564,-17150,16159,991.09,-8932.4,8416.2,516.19
0.032737,-17689,15436,2253.5,-9213.1,8039.4,1173.7
0.03291,-18151,14645,3506.1,-9453.8,7627.7,1826.1
0.033083,-18535,13791,4743.6,-9653.7,7183.1,2470.6
0.033256,-18839,12878,5960.6,-9811.8,6707.3,3104.5
0.03343,-19061,11909,7151.8,-9927.4,6202.5,3724.9
0.033603,-19200,10888,8312,-10000,5670.8,4329.2
0.033776,-19256,9820.1,9436.3,-10029,5114.6,4914.8
0.033949,-19229,8709.6,10520,-10015,4536.3,5479.1
0.034122,-19119,7561.5,11558,-9957.9,3938.3,6019.7
0.034296,-18926,6380.6,12546,-9857.5,3323.2,6534.2
0.034469,-18651,5172.1,13479,-9714.3,2693.8,7020.5
0.034642,-18296,3941.1,14355,-9529.1,2052.7,7476.4
0.034815,-17861,2693.1,15168,-9302.6,1402.7,7900
0.034988,-17349,1433.5,15916,-9035.9,746.59,8289.3
0.035162,-16762,167.55,16594,-8730.1,87.267,8642.8
0.035335,-16102,-1099.1,17201,-8386.5,-572.45,8958.9
0.035508,-15373,-2361,17734,-8006.6,-1229.7,9236.3
0.035681,-14577,-3612.7,18189,-7592,-1881.6,9473.6
0.035855,-13718,-4848.8,18566,-7144.5,-2525.4,9670
0.036028,-12799,-6063.9,18863,-6666.2,-3158.3,9824.5
0.036201,-11825,-7252.8,19078,-6158.9,-3777.5,9936.5
0.036374,-10800,-8410.4,19210,-5625,-4380.4,10005
0.036547,-9728.2,-9531.5,19260,-5066.8,-4964.3,10031
0.036721,-8614.3,-10611,19226,-4486.6,-5526.8,10013
0.036894,-7463,-11645,19108,-3887,-6065.3,9952.3
0.037067,-6279.4,-12629,18908,-3270.5,-6577.6,9848.2
0.03724,-5068.6,-13558,18627,-2639.9,-7061.5,9701.4
0.037413,-3835.9,-14428,18264,-1997.9,-7514.8,9512.6
0.037587,-2586.5,-15236,17823,-1347.2,-7935.5,9282.7
0.03776,-1326,-15978,17304,-690.6,-8322,9012.6
0.037933,-59.62,-16651,16711,-31.052,-8672.4,8703.4
0.038106,1207,-17252,16045,628.64,-8985.3,8356.6
0.038279,2468.4,-17778,15309,1285.6,-9259.3,7973.7
0.038453,3719.2,-18227,14508,1937.1,-9493.2,7556.2
0.038626,4953.8,-18597,13643,2580.1,-9686.1,7106
0.038799,6167.1,-18887,12720,3212,-9837,6625
0.038972,7353.7,-19095,11741,3830,-9945.4,6115.3
0.039145,8508.5,-19221,10712,4431.5,-10011,5579.2
0.039319,9626.4,-19263,9636.4,5013.8,-10033,5018.9
0.039492,10703,-19222,8518.9,5574.4,-10011,4436.9
0.039665,11733,-19097,7364.6,6110.8,-9946.5,3835.7
0.039838,12712,-18890,6178.3,6620.9,-9838.7,3217.9
0.040012,13636,-18602,4965.3,7102.2,-9688.3,2586.1
0.040185,14502,-18232,3730.8,7552.9,-9496,1943.1
0.040358,15304,-17784,2480.1,7970.9,-9262.6,1291.7
0.040531,16040,-17259,1218.7,8354.4,-8989.1,634.73
0.040704,16707,-16659,-48.058,8701.7,-8676.7,-25.03
0.040878,17302,-15987,-1314.6,9011.4,-8326.7,-684.69
0.041051,17822,-15246,-2575.5,9282.1,-7940.7,-1341.4
0.041224,18264,-14439,-3825.2,9512.6,-7520.3,-1992.3
0.041397,18628,-13569,-5058.5,9702,-7067.4,-2634.6
0.04157,18911,-12641,-6269.8,9849.3,-6583.8,-3265.5
