time,v2_0
4.009650e+00,-16250.673866
4.009700e+00,-16276.870264
4.009750e+00,-16299.050588
4.009800e+00,-16317.209365
4.009850e+00,-16331.342114
4.009900e+00,-16341.445350
4.009950e+00,-16347.516578
4.010000e+00,-16349.554301
4.010050e+00,-16347.558016
4.010100e+00,-16341.528215
4.010150e+00,-16331.466387
4.010200e+00,-16317.375015
4.010250e+00,-16299.257573
4.010300e+00,-16277.118534
4.010350e+00,-16250.963360
4.010400e+00,-16220.798503
4.010450e+00,-16186.631407
4.010500e+00,-16148.470502
4.010550e+00,-16106.325204
4.010600e+00,-16060.205910
4.010650e+00,-16010.124002
4.010700e+00,-15956.091834
4.010750e+00,-15898.122740
4.010800e+00,-15836.231022
4.010850e+00,-15770.431951
4.010900e+00,-15700.741761
4.010950e+00,-15627.177649
4.011000e+00,-15549.757764
4.011050e+00,-15468.501209
4.011100e+00,-15383.428033
4.011150e+00,-15294.559227
4.011200e+00,-15201.916716
4.011250e+00,-15105.523361
4.011300e+00,-15005.402943
4.011350e+00,-14901.580167
4.011400e+00,-14794.080649
4.011450e+00,-14682.930913
4.011500e+00,-14568.158383
4.011550e+00,-14449.791378
4.011600e+00,-14327.859104
4.011650e+00,-14202.391645
4.011700e+00,-14073.419958
4.011750e+00,-13940.975865
4.011800e+00,-13805.092046
4.011850e+00,-13665.802026
4.011900e+00,-13523.140174
4.011950e+00,-13377.141690
4.012000e+00,-13227.842596
4.012050e+00,-13075.279731
4.012100e+00,-12919.490735
4.012150e+00,-12760.514049
4.012200e+00,-12598.388897
4.012250e+00,-12433.155281
4.012300e+00,-12264.853970
4.012350e+00,-12093.526489
4.012400e+00,-11919.215113
4.012450e+00,-11741.962848
4.012500e+00,-11561.813430
4.012550e+00,-11378.811307
4.012600e+00,-11193.001633
4.012650e+00,-11004.430253
4.012700e+00,-10813.143695
4.012750e+00,-10619.189156
4.012800e+00,-10422.614491
4.012850e+00,-10223.468201
4.012900e+00,-10021.799424
4.012950e+00,-9817.657918
4.013000e+00,-9611.094052
4.013050e+00,-9402.158793
4.013100e+00,-9190.903691
4.013150e+00,-8977.380872
4.013200e+00,-8761.643018
4.013250e+00,-8543.743360
4.013300e+00,-8323.735662
4.013350e+00,-8101.674206
4.013400e+00,-7877.613783
4.013450e+00,-7651.609678
4.013500e+00,-7423.717652
4.013550e+00,-7193.993935
4.013600e+00,-6962.495208
4.013650e+00,-6729.278589
4.013700e+00,-6494.401622
4.013750e+00,-6257.922258
4.013800e+00,-6019.898846
